size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.049049482344841e-7,3.2914485549927566e-7,3.2158290175348397e-7
1,1048576,2.034360268020598e-5,2.0347329480171665e-5,2.0346969055868676e-5
2,1048576,1.9932229816438136e-5,1.9938839708327205e-5,1.9938477988634104e-5
4,1048576,2.1479081835745058e-5,2.1488528840068947e-5,2.1488128631484186e-5
8,1048576,2.4350384889592673e-5,2.4358147649764363e-5,2.4357798109356274e-5
16,1048576,2.9132017632493682e-5,2.914099451065427e-5,2.9140554422349277e-5
32,1048576,4.280384231090332e-5,4.281471687414193e-5,4.281411984960825e-5
64,1048576,0.00014129074736785388,0.00014137404446791762,0.00014136368773953845
128,1048576,0.0001387732474336426,0.0001387805474977748,0.00013878003912822027
256,1048576,0.00025767723350620406,0.0002576888033705018,0.0002576876386697342
512,1048576,0.00048764381174939194,0.00048766571547987215,0.000487660704719711
1024,1048576,0.001011542400815887,0.0010115752232734314,0.0010115598247627793
2048,524288,0.0020299990922468475,0.002030029901395795,0.00203001215983617
4096,262144,0.003438065341712813,0.0034381261522562195,0.003438110290452977
8192,131072,0.0061621050973130614,0.006162149965562483,0.006162129041915001
16384,65536,0.012567147553528987,0.012567321571226003,0.012567257415052237
32768,32768,0.023646247367007572,0.023646853763916426,0.02364662811951855
65536,16384,0.047802235855400554,0.04780465379821325,0.047803736935655816
131072,8192,0.095972370474244,0.09598193930896781,0.09597819194994986
262144,4096,0.17472564455420336,0.1747607820021977,0.17474728227950959
524288,2048,0.3248340483652168,0.32496222952392717,0.32491581326370533
1048576,1024,0.6364835938808717,0.6369767423027461,0.6367934912315747
2097152,512,1.2147306730663914,1.2165879232441696,1.215935646310396
