size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.073627443313604e-7,3.4226031398772853e-7,3.211958628296835e-7
1,1048576,2.0367140336989977e-5,2.037767739009934e-5,2.0377376068193477e-5
2,1048576,2.1320795947074976e-5,2.1329625857355804e-5,2.13293071587383e-5
4,1048576,2.1810542856210975e-5,2.182037522697932e-5,2.181998300556476e-5
8,1048576,2.6083061529169605e-5,2.6092932232850167e-5,2.6092580474227757e-5
16,1048576,3.598974023532975e-5,3.599948272227721e-5,3.5999027058935976e-5
32,1048576,5.9683594293606206e-5,5.969501126861746e-5,5.9694372314077424e-5
64,1048576,0.00011225218104455586,0.00011226324503519415,0.00011226256361624333
128,1048576,0.00021995627063748746,0.0002199646266383956,0.00021996366267733783
256,1048576,0.000418076629077009,0.0004180923736066721,0.00041808922288545327
512,1048576,0.0008068259894398516,0.0008068488556622273,0.0008068371653795944
1024,1048576,0.001567775708861481,0.0015677952697305925,0.001567786962754518
2048,524288,0.002666673778211597,0.002666704369499313,0.002666691944997227
4096,262144,0.0052129850935512916,0.005213027660710221,0.0052130137385253805
8192,131072,0.00974095677457544,0.009741043547545236,0.00974101780178733
16384,65536,0.02000072524816969,0.020001050529725645,0.020000958575246367
32768,32768,0.04947014382694015,0.04947118703857123,0.04947088591420793
65536,16384,0.11793177785199471,0.11793569155371242,0.11793406020617948
131072,8192,0.25474464320054935,0.254759820043561,0.25475555765621755
262144,4096,0.514725165023934,0.5147988335832547,0.5147835662150141
524288,2048,1.04453114315284,1.044786502650803,1.0447369147761143
1048576,1024,2.111957147798833,2.11292268303324,2.11278099895487
2097152,512,4.255431127845675,4.259088794923954,4.258506472720553
