size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.040646324158705e-7,3.4253738117224624e-7,3.215941191539174e-7
1,1048576,1.8030555401802672e-5,1.804039109897686e-5,1.8039924126148267e-5
2,1048576,1.897667106151553e-5,1.8988984660148748e-5,1.8988590507525864e-5
4,1048576,1.990043687820158e-5,1.991190739630935e-5,1.9911502652581894e-5
8,1048576,2.4481682495118565e-5,2.449389872454276e-5,2.4493489959340797e-5
16,1048576,3.7291453828811044e-5,3.730198802471154e-5,3.7301499971382316e-5
32,1048576,5.9621260304469146e-5,5.962987124441977e-5,5.962929873294082e-5
64,1048576,0.00011210945494072948,0.00011211803826237339,0.0001121173369508015
128,1048576,0.00022057448290631294,0.00022058283407305366,0.00022058162901401475
256,1048576,0.0004278878219566008,0.0004279003220787639,0.00042789834317282627
512,1048576,0.000868154417654867,0.0008681749984866755,0.0008681670497838232
1024,1048576,0.0003857592947787052,0.00038581886012934254,0.0003858029714477501
2048,524288,0.000504010724893659,0.000504050970783142,0.0005040432256419482
4096,262144,0.0010365663894930984,0.0010365891123574889,0.0010365813918120242
8192,131072,0.002081424369666334,0.002081513881866382,0.0020814912280320338
16384,65536,0.004257755265639103,0.004257902143356702,0.004257863826762221
32768,32768,0.008988744272063795,0.008989479124021912,0.008989226987895744
65536,16384,0.02302338955114741,0.023024061868408663,0.023023765718956604
131072,8192,0.04058209100488663,0.04058276919324655,0.04058239490639456
262144,4096,0.0896114364528875,0.08961951260790357,0.0896157882104914
524288,2048,0.1736706693422958,0.17369690902294987,0.1736870346001473
1048576,1024,0.3472999894394544,0.34740360842871976,0.3473590532921256
2097152,512,0.6610672836425842,0.6613609732089838,0.6612641951340434
