size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.0555948543551647e-7,3.346329450606803e-7,3.211224092692156e-7
1,1048576,0.0002292394308681446,0.00022929465510844276,0.00022927715679634425
2,1048576,0.00022912283705141175,0.00022918212465959154,0.00022916521154614625
4,1048576,0.000229113367196044,0.00022916918576434975,0.0002291517339142648
8,1048576,0.0002295094657611623,0.00022956095035938414,0.00022954767004719885
16,1048576,0.00023513007212821362,0.00023520484825331615,0.00023518509309740886
32,1048576,0.00023844026616488042,0.00023850264956379492,0.00023848685958578931
64,1048576,0.00025395762858771895,0.00025397823251244655,0.00025397442915581306
128,1048576,0.00027787889878662635,0.00027791549787894955,0.0002779118429492327
256,1048576,0.0002799767197359871,0.00027999135450764855,0.00027998860869151365
512,1048576,0.00030287453989997267,0.0003029417144976253,0.00030292349798423835
1024,1048576,0.0003520428648611995,0.0003521217902800588,0.0003521020311975827
2048,524288,0.0004916956054780448,0.0004917172342184303,0.0004917096150392769
4096,262144,0.0010533752897948986,0.0010534049299091974,0.001053396826581195
8192,131072,0.002121008417709236,0.0021211018244623667,0.0021210777766180436
16384,65536,0.004348103809769764,0.004348418628082447,0.004348373500438905
32768,32768,0.009094235457305616,0.009095052324612468,0.00909480840972933
65536,16384,0.022972763516416195,0.02297348014923467,0.02297312619630588
131072,8192,0.04566611075549032,0.04566885672827037,0.04566767093605738
262144,4096,0.09338309610742379,0.09339072351440492,0.09338766173699589
524288,2048,0.17396263891015495,0.17399373263428286,0.17398215501876357
1048576,1024,0.3541466870517471,0.3542838293134638,0.35422316065233855
2097152,512,0.6307579960761736,0.631284484521494,0.6310900791834417
