size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.0770293426517773e-7,3.273838014602653e-7,3.212629411071498e-7
1,1048576,1.805567596626157e-5,1.8063925680160436e-5,1.8063577827401496e-5
2,1048576,1.9008475705147086e-5,1.9016437792782707e-5,1.9016179846275617e-5
4,1048576,1.999978219890742e-5,2.0008777236934978e-5,2.0008464551478254e-5
8,1048576,2.504677293681607e-5,2.5055817386621228e-5,2.505549925164532e-5
16,1048576,3.747345160865284e-5,3.748227033996979e-5,3.74818757744059e-5
32,1048576,6.440547523496961e-5,6.441542202568397e-5,6.441472313196895e-5
64,1048576,0.00012284041272640737,0.00012285008022878364,0.0001228492184313668
128,1048576,0.0002215821416921116,0.00022159058339216473,0.00022158925866805308
256,1048576,0.0004296214445447771,0.00042963047090909684,0.00042962858827297123
512,1048576,0.0008676752367190898,0.000867696058488912,0.0008676870391883131
1024,1048576,0.0018182379461653445,0.0018182573971908516,0.001818250548488768
2048,524288,0.0025894469388822823,0.002589461033998536,0.0025894548537438284
4096,262144,0.004235329433810841,0.004235344782692,0.004235337698976013
8192,131072,0.008435568328855413,0.008435585430450823,0.008435578077883197
16384,65536,0.016855470536818837,0.016855500911837268,0.016855489371971795
32768,32768,0.03371652693649929,0.03371673418460197,0.033716697727001685
65536,16384,0.0889555062781342,0.08895967190886211,0.08895907999776986
131072,8192,0.20234348845520045,0.20235945540785205,0.20235681380244325
262144,4096,0.4275238309601934,0.42758979879712733,0.42757190789776245
524288,2048,0.904784950444788,0.9048866465561716,0.9048645033279862
1048576,1024,1.9077057398750217,1.9088839948828777,1.9087476721372483
2097152,512,3.9184468998339597,3.92325503329495,3.9227471412566963
