size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.0268970298760087e-7,3.277335443497012e-7,3.212696254141609e-7
1,1048576,0.00012547364323043438,0.00012550051505374742,0.00012549704337395676
2,1048576,0.0001254749465475112,0.000125502071431149,0.00012549867207491746
4,1048576,0.0001252661311073372,0.00012529117657179866,0.0001252878410464649
8,1048576,0.00012548117852212323,0.00012550514481638738,0.00012550174870999762
16,1048576,0.0001256604382057564,0.0001256837890110258,0.00012568049282696313
32,1048576,0.00016748807676703525,0.00016750729988578223,0.00016750196510607526
64,1048576,0.00015732070401200371,0.00015733308934402714,0.00015732870702101404
128,1048576,0.00019652455546091674,0.00019653031569183605,0.0001965291907855956
256,1048576,0.00019948666519265575,0.00019949689535818122,0.00019949534832993518
512,1048576,0.000247573720538098,0.00024759630215073986,0.0002475909103047655
1024,1048576,0.0003459291811447598,0.0003459637543107058,0.00034595191497278454
2048,524288,0.0005274839568154741,0.0005275695737894525,0.000527554270372874
4096,262144,0.0011454280806352576,0.0011456090450931503,0.0011455964888526812
8192,131072,0.0026895670272826556,0.0026898639693830155,0.0026898409394699703
16384,65536,0.005359429636765084,0.005359687068893407,0.005359658554877721
32768,32768,0.010984697002871593,0.010985620690826203,0.01098544838779867
65536,16384,0.02085322849639948,0.020854102596252033,0.02085371866183706
131072,8192,0.039716762567379826,0.03971772162707288,0.03971729743396035
262144,4096,0.08877021280419628,0.08877690582129283,0.08877331112048469
524288,2048,0.16785243023975083,0.16787766261473402,0.16786720119015533
1048576,1024,0.34480055225684403,0.3449094005742275,0.3448607253415644
2097152,512,0.664859011175789,0.6652722601601653,0.6650824975609039
