size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.96516123771704e-7,5.377514247893271e-7,5.235422270148956e-7
1,1048576,0.0008847874561776861,0.0008848111829690932,0.0008848013682634815
2,1048576,0.0008846684489010689,0.0008846914241913388,0.00088468127804488
4,1048576,0.0008846059712229854,0.0008846283768807446,0.0008846183807962247
8,1048576,0.0008846406822014632,0.0008846636438036709,0.0008846533558627121
16,1048576,0.0008914058047066373,0.0008914269138165279,0.0008914168306307829
32,1048576,0.0009283441406812924,0.0009283686895461135,0.0009283583154312745
64,1048576,0.0009135423086381617,0.0009135602893469335,0.0009135512844306748
128,1048576,0.0008967653938940423,0.0008967899074503773,0.0008967820349157459
256,1048576,0.0012496231559531367,0.0012496469947452992,0.0012496384639361644
512,1048576,0.0016096681573309294,0.0016096951129200704,0.001609686213418561
1024,1048576,0.0027258779949438598,0.002725907142327755,0.0027258972387979603
2048,524288,0.004484196761534536,0.0044842296991530715,0.004484218889769259
4096,262144,0.008234592422151382,0.008234644545529891,0.008234627626526048
8192,131072,0.0161238991501782,0.016124033282991196,0.016123987246030203
16384,65536,0.03182017844822582,0.03182056343167333,0.03182043563525091
32768,32768,0.06376327563424589,0.06376435286351867,0.063763992301777
65536,16384,0.12064044333563317,0.12064326243603363,0.12064260647974596
131072,8192,0.1800519873437585,0.1800630702875905,0.1800597810508045
262144,4096,0.35892438120753134,0.3589669650519882,0.3589541911193798
524288,2048,0.7267965152631497,0.7269959757617386,0.726937638654505
1048576,1024,1.4977994594853463,1.4985580040829838,1.4983530081928067
2097152,512,3.0138742512615977,3.017920608466653,3.016747186096875
