size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.949827556610095e-7,5.377807664870582e-7,5.24558299466967e-7
1,1048576,4.272064966392279e-5,4.273862883567446e-5,4.2728168298985786e-5
2,1048576,4.418938891029325e-5,4.4209423038479765e-5,4.4198786267988285e-5
4,1048576,4.6300663847919575e-5,4.632040794373697e-5,4.6310010058551264e-5
8,1048576,5.11770820980056e-5,5.119613179588962e-5,5.118597958699331e-5
16,1048576,6.618719475269837e-5,6.620742863845157e-5,6.619789204810521e-5
32,1048576,0.00011000374622913243,0.00011002636628148425,0.00011001845294021328
64,1048576,0.00020115753538989375,0.0002011774369735767,0.00020117139691353775
128,1048576,0.00037971512881757854,0.00037973851922787675,0.0003797283930504824
256,1048576,0.000761902003001206,0.0007619191735992852,0.0007619111640972133
512,1048576,0.0015231232581575614,0.0015231490188675832,0.0015231412855852735
1024,1048576,0.0027295507786531618,0.0027295822697838614,0.002729571624519294
2048,524288,0.004552197487713091,0.004552227206572255,0.004552214350583397
4096,262144,0.008229215609992388,0.00822926636665481,0.008229248288949656
8192,131072,0.016081033333767134,0.016081190588682917,0.0160811453240116
16384,65536,0.031703437155885694,0.031703803601961705,0.03170365636033326
32768,32768,0.039008389528626286,0.03900862900298091,0.039008531342309354
65536,16384,0.0763719426290389,0.07637229714995641,0.07637212379175404
131072,8192,0.14557841789295578,0.14557874691747275,0.14557864731520248
262144,4096,0.2823554557753738,0.28235599713766746,0.2823557248227943
524288,2048,0.5571891845234624,0.5571901290688359,0.5571897117575063
1048576,1024,1.1075090485498187,1.1075126795771055,1.107511088415595
2097152,512,2.19940306149806,2.1994156171952213,2.199410675136485
