size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.9896196269987e-7,6.979130163192325e-7,5.241209139116063e-7
1,1048576,0.0008671994924478489,0.0008672363300857694,0.0008672228646162142
2,1048576,0.0008671681627329729,0.0008672028002244056,0.0008671901130159525
4,1048576,0.0008672359087323186,0.0008672707928618212,0.000867257796754152
8,1048576,0.0008673128747340628,0.0008673481835737027,0.0008673354040699139
16,1048576,0.0008731961815770526,0.0008732316902265039,0.0008732186885878074
32,1048576,0.000911265391652709,0.0009113009311740861,0.0009112876561228962
64,1048576,0.0009472517979413602,0.0009472895980136764,0.0009472750275781837
128,1048576,0.0009347373690182688,0.0009347662873170808,0.0009347572951985622
256,1048576,0.001250862101598407,0.0012508936509562458,0.0012508852983443468
512,1048576,0.0014295737949687644,0.0014296053109573263,0.0014295967456756016
1024,1048576,0.002677764832233944,0.002677796223191503,0.002677786361253626
2048,524288,0.004494331157614689,0.004494363651993981,0.004494352088317038
4096,262144,0.008000602819315188,0.008000643539989923,0.008000626901310242
8192,131072,0.015466651124967284,0.015466837129812117,0.015466793898960265
16384,65536,0.03046432716997577,0.030464679574400966,0.03046455145975519
32768,32768,0.061046787390547363,0.06104795283622044,0.06104758949897659
65536,16384,0.1199602613915347,0.11996546544780995,0.11996484077098864
131072,8192,0.17949633922168484,0.1795106134265012,0.17950808859199163
262144,4096,0.35822716386960973,0.3582900864245655,0.3582728126329923
524288,2048,0.7281927160180715,0.7283867806293927,0.7283317192042179
1048576,1024,1.4937726878320277,1.4948649913965042,1.4945592879124754
2097152,512,3.037444344494155,3.0395895245118254,3.039002143170931
