size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,5.004947185517425e-7,5.915606727599865e-7,5.238140522129808e-7
1,1048576,0.0009372262119436066,0.0009372494604902302,0.0009372390042119359
2,1048576,0.0009369971211024578,0.0009370222011755992,0.0009370119327452685
4,1048576,0.0009369903042554832,0.0009370149183512363,0.0009370043728275365
8,1048576,0.0009365494739982318,0.0009365744359419062,0.0009365638978261092
16,1048576,0.0009388664728161222,0.0009388963644269611,0.000938885909017557
32,1048576,0.0009587883616441559,0.000958813525097176,0.0009588029659758997
64,1048576,0.0010737866608797149,0.001073819210202968,0.0010738081078575442
128,1048576,0.001118118916841394,0.0011181449383103207,0.001118133717678242
256,1048576,0.001190590821227782,0.0011906169857931227,0.0011906061287803454
512,1048576,0.0012800969079336758,0.0012801222147815917,0.001280111986571018
1024,1048576,0.0016035405794399028,0.0016035654501684454,0.0016035559026050376
2048,524288,0.002751610124148634,0.0027516489251132627,0.0027516387174071075
4096,262144,0.005703172878248987,0.005703219477894962,0.005703205925018148
8192,131072,0.011027937092898774,0.01102811080805323,0.011028066210993243
16384,65536,0.020424991062219566,0.020425247467102337,0.02042513915861811
32768,32768,0.03901937112649634,0.03901960430492912,0.039019477286729394
65536,16384,0.07644165486779975,0.07644200377471244,0.0764419027806942
131072,8192,0.1456131190470047,0.14561349253160882,0.14561337217698864
262144,4096,0.28276745499996636,0.2827679439064896,0.2827676947694797
524288,2048,0.5572095534575254,0.5572105555512419,0.5572100339432662
1048576,1024,1.1070790188359645,1.1070824559023187,1.1070812174516156
2097152,512,2.2004662142617804,2.200478547683666,2.2004733901026983
