size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.031591987609735e-8,5.082255744934117e-8,4.0527198359370854e-8
1,1048576,0.00011239476869965525,0.00011239646520709069,0.00011239602912955364
2,1048576,0.00011298297064686994,0.00011298449559688736,0.00011298409585870853
4,1048576,0.00011312154983522701,0.00011312320266534845,0.00011312277636854914
8,1048576,0.00011305212041182573,0.00011305359734532989,0.00011305314468889515
16,1048576,0.00011331731933970777,0.00011331881859490307,0.00011331837891485751
32,1048576,0.00011572049580005665,0.0001157221906414196,0.00011572169240837567
64,1048576,0.00012542602796261398,0.0001254276223678466,0.00012542702840075408
128,1048576,0.00015091370236494856,0.0001509170750331819,0.0001509164661401405
256,1048576,0.00016083773724261802,0.00016084101513949274,0.00016084041422331972
512,1048576,0.00016573956685543784,0.00016574568101597898,0.0001657449052675971
1024,1048576,0.0001708310826014235,0.00017083552523502262,0.00017083488292875243
2048,524288,0.00018650280203818962,0.00018650785959268765,0.00018650741721186375
4096,262144,0.00022182967218749294,0.00022183666145324157,0.0002218360649585517
8192,131072,0.00029333921125081555,0.0002933534278943724,0.00029335232710530094
16384,65536,0.00030648493498236506,0.0003065048096616216,0.0003065023666251063
32768,32768,0.0005366346436160574,0.0005366549945676619,0.0005366466808911705
65536,16384,0.001070829921447275,0.0010708927626344455,0.0010708625282771407
131072,8192,0.0020877667055672067,0.00208801576599138,0.0020878887880660273
262144,4096,0.004132854616699155,0.004133796333739226,0.004133351960596124
524288,2048,0.008223547743650195,0.008227036207517524,0.008225412654014655
1048576,1024,0.016402964977539902,0.016414433416013008,0.016409455361957613
2097152,512,0.03274765346680031,0.03279086956639965,0.032776808715888825
