size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.016986083984406e-8,5.0715983390802586e-8,4.052733451128071e-8
1,1048576,1.1021313514709458e-6,1.2534695892334527e-6,1.1804694498032403e-6
2,1048576,1.235442642212072e-6,1.2365585021974247e-6,1.2358414994776346e-6
4,1048576,1.236242674827154e-6,1.2374629907607756e-6,1.2366072888672138e-6
8,1048576,1.2327922916411603e-6,1.2339880685802513e-6,1.2331715294457855e-6
16,1048576,1.2466005277636205e-6,1.2481835002895422e-6,1.2469640039540687e-6
32,1048576,1.4155559930801475e-6,1.5307986946112464e-6,1.4676199197732232e-6
64,1048576,1.585340660095865e-6,1.6781386709223231e-6,1.6188208042420858e-6
128,1048576,2.65873402595508e-6,2.7727149763109423e-6,2.7157125913463566e-6
256,1048576,3.2733424501414106e-6,3.274823252677974e-6,3.2741352276541065e-6
512,1048576,5.8913253097511675e-6,5.895439558983037e-6,5.893231337264127e-6
1024,1048576,1.1145432610513523e-5,1.1161689355849188e-5,1.115162926403064e-5
2048,524288,2.1676137964247557e-5,2.1694926630013713e-5,2.1688107554375782e-5
4096,262144,4.319172489165599e-5,4.3256628608697275e-5,4.3237012592405186e-5
8192,131072,8.565518375397229e-5,8.588671827698674e-5,8.583019251784567e-5
16384,65536,0.0001713073308562995,0.0001714949242401381,0.0001714487085066425
32768,32768,0.00034212151983638436,0.00034333835717770093,0.0003432119188312277
65536,16384,0.0006879858903198425,0.0006880712764892726,0.0006880442025759276
131072,8192,0.0013689215020752411,0.0013692033898926419,0.0013691349351749437
262144,4096,0.0027323088972167446,0.00273324681787113,0.0027328949652576464
524288,2048,0.005458576088378839,0.005461387238281275,0.005460124373002998
1048576,1024,0.010907945055664087,0.01091958025195286,0.010915040385047932
2097152,512,0.02181329316015629,0.02187215780468804,0.021857734658180243
