size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.024766063690227e-8,5.305298137663238e-8,4.052696353569659e-8
1,1048576,1.0328916568756895e-6,1.0351628675461765e-6,1.0336702984795009e-6
2,1048576,1.0355845222472613e-6,1.0373408555982855e-6,1.0359789319410778e-6
4,1048576,1.0381375207902e-6,1.0398976364136078e-6,1.0384777295514831e-6
8,1048576,1.0294439134600746e-6,1.0311712751384192e-6,1.0297951114326551e-6
16,1048576,1.03634593868326e-6,1.0381615505219063e-6,1.0367323769218828e-6
32,1048576,1.09501659107222e-6,1.0969349756245724e-6,1.0953376119881735e-6
64,1048576,1.0791960477833678e-6,1.0804830732333033e-6,1.0795554262139267e-6
128,1048576,1.1910447883603248e-6,1.191902793884547e-6,1.1913191352896558e-6
256,1048576,1.2753439598073226e-6,1.276096360206404e-6,1.2757070291227945e-6
512,1048576,1.3554356660849745e-6,1.3569240036012278e-6,1.3557729673684012e-6
1024,1048576,1.4715487756739644e-6,1.4735725975042126e-6,1.4718700368664395e-6
2048,524288,1.930679330825869e-6,2.4466329536447513e-6,2.2836228993609713e-6
4096,262144,2.973134983060828e-6,4.090618534087342e-6,3.850060966417239e-6
8192,131072,4.181039253232656e-6,1.0161322257989106e-5,9.83533743032804e-6
16384,65536,2.5974017456057384e-5,2.617838545226843e-5,2.602771281605903e-5
32768,32768,5.060290908813394e-5,5.094505175780935e-5,5.069732731223041e-5
65536,16384,9.98722651977613e-5,0.0001000004356689517,9.99265854156024e-5
131072,8192,0.00019019469799804204,0.00019061269592283644,0.00019037958295440704
262144,4096,0.00035665071240234374,0.0003587187080078026,0.00035746139383602244
524288,2048,0.0007330539306640623,0.0007402148754882994,0.0007361984007911657
1048576,1024,0.0014995166328125552,0.0015298650468750334,0.0015111694580879156
2097152,512,0.003063361648437471,0.0032182000507812517,0.0031140825517044063
