size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.0324625015269544e-8,5.586737632750772e-8,4.0584942899643656e-8
1,1048576,2.2347987346648574e-6,2.244317463874737e-6,2.2428595006428622e-6
2,1048576,2.2829452266695776e-6,2.29498587131444e-6,2.29344203072041e-6
4,1048576,2.2033116540907984e-6,2.2154698600769772e-6,2.2139781672694026e-6
8,1048576,2.2681827764514753e-6,2.280011940001361e-6,2.278452343076484e-6
16,1048576,2.179493484498112e-6,2.190870804787502e-6,2.189276247020766e-6
32,1048576,2.381524487494061e-6,2.394593326568347e-6,2.392925446718924e-6
64,1048576,2.4094399108892003e-6,2.422820766449983e-6,2.4211793849729067e-6
128,1048576,4.211091049190886e-6,4.224051097870115e-6,4.22251082205776e-6
256,1048576,4.263153707504881e-6,4.276295746803181e-6,4.274760277729566e-6
512,1048576,4.592251132010806e-6,4.602138000487961e-6,4.601113203182723e-6
1024,1048576,5.7279616575272214e-6,5.7365093021415e-6,5.735607559878464e-6
2048,524288,7.069621473309551e-6,7.079677797319645e-6,7.0781568793056605e-6
4096,262144,1.0492020404818183e-5,1.0502157657615223e-5,1.050082655686064e-5
8192,131072,2.1665670242298758e-5,2.1699345252983507e-5,2.167877396833852e-5
16384,65536,4.064083052061538e-5,9.142941093445223e-5,7.389964697659059e-5
32768,32768,7.321611471558932e-5,8.308807247925311e-5,7.8807698350189e-5
65536,16384,0.00015105299157716374,0.00015108497558591468,0.00015107406815290382
131072,8192,0.0002935406292724537,0.000293626255004828,0.0002935853733754168
262144,4096,0.0005881521879883625,0.0005884916779784494,0.0005883193019695269
524288,2048,0.0011668600761720188,0.0011682126948241514,0.0011676439808673846
1048576,1024,0.0021725507519529397,0.0021773300859374567,0.0021749213104438614
2097152,512,0.004169102777343531,0.0041880432949215896,0.004178017726516704
