size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.9876236915587044e-8,4.6364495277411496e-8,4.050857865437947e-8
1,1048576,1.7789212846757023e-6,1.7811173315047896e-6,1.7796233511641785e-6
2,1048576,1.8272929248808067e-6,1.8294697732926765e-6,1.8279584454782361e-6
4,1048576,1.8375119895931136e-6,1.8396905746460492e-6,1.8381862963252095e-6
8,1048576,1.8194297370913522e-6,1.8216905345925398e-6,1.820149545568991e-6
16,1048576,1.827540586471513e-6,1.8298336400991722e-6,1.8283001199438736e-6
32,1048576,1.9809169292442782e-6,1.9830212535855355e-6,1.981442230597102e-6
64,1048576,1.990570978164976e-6,1.9926402425762885e-6,1.9911635865159455e-6
128,1048576,3.971013291357914e-6,3.973000329018853e-6,3.971525262732037e-6
256,1048576,4.159593176841591e-6,4.161359813688233e-6,4.160031023997819e-6
512,1048576,4.136374490737671e-6,4.138497026444114e-6,4.137458044312871e-6
1024,1048576,5.170619668960939e-6,5.172644688608095e-6,5.171782412607173e-6
2048,524288,6.760804517753384e-6,6.764368581770389e-6,6.761909977398821e-6
4096,262144,1.0442369049065361e-5,1.0444233184822007e-5,1.0443040357738478e-5
8192,131072,2.244352692413581e-5,2.2445417510970247e-5,2.2444286982625957e-5
16384,65536,4.595853027343478e-5,4.627089811705561e-5,4.603702792024653e-5
32768,32768,8.661466394041767e-5,8.66239809264981e-5,8.662199798834163e-5
65536,16384,0.00014971019207759163,0.00014972875579831327,0.0001497199660501478
131072,8192,0.0002968476113281984,0.00029693399841313264,0.00029689124078416645
262144,4096,0.0005735506794433964,0.0005738702978515184,0.0005737264769601809
524288,2048,0.0011436132475585031,0.0011449143525389255,0.0011444530265007024
1048576,1024,0.0020966518066405995,0.002101265335937602,0.0020990232023239226
2097152,512,0.0041178553554687,0.0041376202792968025,0.00412687283238983
