size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.034605693818158e-8,4.602378273010634e-8,4.050914802029751e-8
1,1048576,2.961072082519533e-7,7.678152942657753e-7,6.455848276987661e-7
2,1048576,2.8916415119181633e-7,7.505813398361713e-7,6.36286424901345e-7
4,1048576,2.8789071464538893e-7,7.229506807321849e-7,6.338511540591831e-7
8,1048576,2.8852252960196065e-7,7.714557924269964e-7,6.608849783614149e-7
16,1048576,2.878882274627214e-7,7.64807284354903e-7,6.602791594005943e-7
32,1048576,3.1179201030705426e-7,7.734137353896085e-7,6.795698152184976e-7
64,1048576,3.482715883254169e-7,9.695836057662257e-7,7.970204349495273e-7
128,1048576,8.745091590875787e-7,1.5557252502435805e-6,1.3705793782733286e-6
256,1048576,6.375249338155597e-7,1.0481506748209892e-6,9.444142542779833e-7
512,1048576,6.910790176388226e-7,1.0655157251360983e-6,9.934356144517791e-7
1024,1048576,7.898179140090472e-7,1.0610877256389908e-6,1.0530749051570944e-6
2048,524288,1.8099523525251109e-6,2.4437489833835267e-6,2.42954274670772e-6
4096,262144,2.2997089805596645e-6,4.441383716585985e-6,4.25993375983843e-6
8192,131072,2.7624646987921264e-6,1.0453375099183244e-5,9.935278245091644e-6
16384,65536,2.5938413848874042e-5,2.7114984298702913e-5,2.638173480439173e-5
32768,32768,5.047242916870402e-5,5.121492654418594e-5,5.09628332287074e-5
65536,16384,9.587187329100806e-5,9.881897155760723e-5,9.726299775934213e-5
131072,8192,0.0001876341064452982,0.0001895695423584096,0.00018878378070449867
262144,4096,0.0003608277416992274,0.00037289247827147244,0.00036780543035793285
524288,2048,0.00071649146679683,0.0007558849741210912,0.0007398397938690192
1048576,1024,0.0014830846621093283,0.0016138556630859204,0.001562263028686523
2097152,512,0.002866601185546859,0.0035847127949217156,0.003320408959457393
