size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.031307888030818e-8,4.841999721528501e-8,4.051153173670184e-8
1,1048576,0.00011250278054618865,0.0001125063693761788,0.00011250589724681154
2,1048576,0.00011300923064233229,0.00011301278577519122,0.00011301229195351126
4,1048576,0.00011309759278775673,0.00011310085889342577,0.0001131004518832231
8,1048576,0.00011307205799391694,0.00011307550060745764,0.00011307507288861233
16,1048576,0.00011323406310173009,0.00011323778003221425,0.00011323734140535161
32,1048576,0.00011574679625989907,0.00011574857126422878,0.00011574803634612753
64,1048576,0.00012628143483644572,0.00012628285262394467,0.00012628230598434246
128,1048576,0.000151451705723875,0.00015145353402621362,0.00015145295200216983
256,1048576,2.6286255103155978e-5,2.6287340293014417e-5,2.6287026440037494e-5
512,1048576,2.7837428086365575e-5,2.7838233763649144e-5,2.7838009342807052e-5
1024,1048576,2.9099571832622148e-5,2.9100678514360585e-5,2.910037279635926e-5
2048,524288,3.4533664175245404e-5,3.453499789027835e-5,3.4534631446625455e-5
4096,262144,4.758583781024322e-5,4.758809607309598e-5,4.758782121750721e-5
8192,131072,7.249012744118752e-5,7.249879303719911e-5,7.24985022123434e-5
16384,65536,0.00014636635066227546,0.0001463783124998029,0.00014637729232506378
32768,32768,0.0002497277667238701,0.00024974577639785833,0.00024974384067265874
65536,16384,0.0004482328239749367,0.00044825742633129717,0.000448248379577698
131072,8192,0.0008194687053216521,0.0008195696481941017,0.0008195295940470045
262144,4096,0.0014122028840329315,0.001412513737548693,0.0014124196856746321
524288,2048,0.002347302889644909,0.002348417430173777,0.0023482426147784802
1048576,1024,0.0043592589042991126,0.004360538936527103,0.004360233946770102
2097152,512,0.008708042203120048,0.008710722210935273,0.00871006782511139
