size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.0270645141592026e-8,5.4078029632568985e-8,4.051869607716732e-8
1,1048576,0.0001132845336246458,0.00011328638005161591,0.00011328593200108024
2,1048576,0.00011372512637043094,0.0001137268684558796,0.00011372648294122616
4,1048576,0.00011373326661684254,0.00011373500837329146,0.00011373459628405412
8,1048576,0.00011374763745692734,0.00011374937157251745,0.00011374899230495634
16,1048576,0.00011383346649260391,0.00011383535961149939,0.00011383493639004644
32,1048576,0.00011647752938088421,0.00011647928936757944,0.00011647886182145912
64,1048576,0.00012572018808366784,0.00012572169303514855,0.0001257211124639573
128,1048576,0.0001505209047117219,0.0001505221444244656,0.00015052143623539888
256,1048576,0.00013297801889319003,0.00013299520484631733,0.00013299136981135174
512,1048576,0.00013299288044358627,0.00013300826053823985,0.0001330047387330356
1024,1048576,0.00013366089760030882,0.00013368161518570324,0.0001336778896719186
2048,524288,0.00013414826857552744,0.00013416419173031997,0.0001341602224431776
4096,262144,0.00013493306266378936,0.00013495190652457103,0.00013494847955551674
8192,131072,0.0001751675139617711,0.00017518516220836784,0.00017518107995294143
16384,65536,0.00016593566778520807,0.0001659575385594171,0.00016595316194269516
32768,32768,0.00021295042706256928,0.00021295680386276827,0.00021295618937458626
65536,16384,0.00022230788055442596,0.00022231518279958173,0.00022231399949310755
131072,8192,0.00027553694616574975,0.0002755604559347702,0.00027555674669278143
262144,4096,0.0003773413750007282,0.00037736998461973537,0.00037735906410111186
524288,2048,0.0006004736562512658,0.0006005206669902341,0.0006005031488951311
1048576,1024,0.001259778617189733,0.001259944426764248,0.001259896897830801
2097152,512,0.0028794764667909867,0.002879708664067504,0.002879604384766154
