size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.017655086518657e-8,4.762590217580319e-8,4.049841675534812e-8
1,1048576,3.007115650176519e-7,7.674629802702549e-7,6.472984254919053e-7
2,1048576,4.3556693267809584e-7,5.26028249359163e-6,1.6037353606149446e-6
4,1048576,4.4054323673244716e-7,5.254690857887879e-6,1.5980981678851024e-6
8,1048576,4.3698760128074444e-7,5.2582468509686154e-6,1.6020054808371172e-6
16,1048576,4.335028324121665e-7,5.266301855087238e-6,1.60926872541393e-6
32,1048576,4.2469296550557293e-7,5.282688597682219e-6,1.6315384079777768e-6
64,1048576,4.6425679206836394e-7,5.429516745568927e-6,1.837167040649929e-6
128,1048576,2.214012415886227e-6,6.2049907245641855e-6,2.342520148086811e-6
256,1048576,2.7655784940739582e-6,6.603949542996929e-6,4.664149500850853e-6
512,1048576,1.3707493400558077e-6,7.80842879962936e-6,3.634799077387976e-6
1024,1048576,1.2145748052625838e-6,1.0613432790761469e-5,5.355295183085033e-6
2048,524288,1.5501122779879159e-6,1.5932202369692722e-5,9.589003268308473e-6
4096,262144,1.0473748828882304e-5,2.629106970977274e-5,1.8653312879859766e-5
8192,131072,2.1643927131661275e-5,4.81628419723352e-5,3.72036686480954e-5
16384,65536,4.288897377012642e-5,9.09562051544157e-5,7.385965133291535e-5
32768,32768,8.58052950743998e-5,0.00017768916268925006,0.00014813203670966844
65536,16384,0.00017261792700194907,0.00034982849145507797,0.0002995210156731606
131072,8192,0.00034874008435054754,0.0006952114364012427,0.0006046339720358778
262144,4096,0.0007045248449705811,0.0013893348183594278,0.0012180836883382868
524288,2048,0.002865578007324232,0.0028671714541013624,0.0028665603792152397
1048576,1024,0.005725758222656238,0.005732046260742252,0.005729678343891175
2097152,512,0.0111893896250006,0.011214690964843232,0.011205570158508276
