size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,6.703424453729351e-8,3.0713747215279804e-7,7.151833844930286e-8
1,1048576,0.0007133949043531594,0.0007134158037567041,0.000713413932964468
2,1048576,0.0007135669399156254,0.000713595116092775,0.0007135930953711988
4,1048576,0.0007142016202659489,0.0007142323853244913,0.0007142304151968922
8,1048576,0.0007140438744752493,0.0007140651092471017,0.0007140631292462151
16,1048576,0.0007147721824017949,0.0007147918038921033,0.0007147898938090707
32,1048576,0.0007256861458755908,0.0007257067692259299,0.0007257048766330922
64,1048576,0.0007361725731504223,0.0007361942035511776,0.0007361922327536448
128,1048576,0.0007516191620823877,0.000751647897963577,0.0007516458525443734
256,1048576,0.0007908159759951296,0.0007908373615719017,0.0007908359002773091
512,1048576,0.0007996791782757043,0.0007997020204463202,0.0007996999570010356
1024,1048576,0.0007948577292114529,0.0007948732640963513,0.000794871317193571
2048,524288,0.0008598598140641678,0.0008598936758286192,0.000859888250481465
4096,262144,0.0008888418922895075,0.0008888693089375219,0.0008888634226787408
8192,131072,0.000989638762521533,0.0009896844649279757,0.0009896735424270713
16384,65536,0.0011438076502477412,0.001143864021587504,0.0011438486007961269
32768,32768,0.0014369528368534668,0.0014370353227523003,0.0014370090447065834
65536,16384,0.0019469398055473874,0.0019470616731687151,0.0019469987264666491
131072,8192,0.002870608516593487,0.002870950899908964,0.0028707875571194006
262144,4096,0.003846823139166844,0.003847759466559353,0.0038472456656063643
524288,2048,0.006569823462405644,0.006573016902823525,0.006571340060730478
1048576,1024,0.012642689855448808,0.012654933031214455,0.012648881542020124
2097152,512,0.0238407080469365,0.02388689338868133,0.023864265182293426
