size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.438974838256624e-7,2.8512464046479503e-7,2.5440400286018786e-7
1,1048576,4.0329271698003286e-7,1.245504349708631e-6,7.823242445289975e-7
2,1048576,3.9336320590966357e-7,1.254559593200768e-6,7.939877157062331e-7
4,1048576,3.9011094379410935e-7,1.2857562999728148e-6,7.928664437681032e-7
8,1048576,3.912764406203009e-7,1.3002637519839825e-6,8.149351567329039e-7
16,1048576,3.916409492497578e-7,1.3070553455351688e-6,8.042972175031664e-7
32,1048576,3.9069227218653386e-7,1.344925139427513e-6,8.191809218079242e-7
64,1048576,8.825700073245432e-7,5.078083827972248e-6,4.0633330070675506e-6
128,1048576,7.04580003739705e-7,4.894527704238724e-6,2.304610910386003e-6
256,1048576,5.430622797012679e-7,2.3694407777780977e-6,1.3389428174050617e-6
512,1048576,9.54342574118925e-7,2.108354789732777e-6,1.543544127657945e-6
1024,1048576,2.4079938735970072e-6,2.8883368749602326e-6,2.637807166173979e-6
2048,524288,4.678830766676357e-6,5.557977701187183e-6,5.154688396542953e-6
4096,262144,1.0005757244113805e-5,1.0554412174225815e-5,1.0387720201491822e-5
8192,131072,2.004968612671508e-5,2.0918447868340645e-5,2.06843706532713e-5
16384,65536,4.027975592041724e-5,4.1791157531733975e-5,4.141012365937086e-5
32768,32768,8.078457278440344e-5,8.360713641354656e-5,8.286809909343694e-5
65536,16384,0.00016196314215087331,0.0001672590579833563,0.00016589371355533826
131072,8192,0.0003240270701904465,0.0003347081359863042,0.00033193335638618323
262144,4096,0.0008099713603516492,0.0008103872312011668,0.000810199650970463
524288,2048,0.0016542884897460426,0.0016560464096680438,0.0016553058392486566
1048576,1024,0.0032545733681641695,0.0032605354638670578,0.0032579087092285105
2097152,512,0.006330161511718738,0.006351253466796936,0.006341267615661635
