size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.4594150352477073e-7,2.787307825088245e-7,2.535281589180379e-7
1,1048576,3.132272748946909e-7,1.8904340782164774e-6,9.285089570433138e-7
2,1048576,3.068321504594935e-7,2.001193050384075e-6,9.721561158299889e-7
4,1048576,3.071364889143511e-7,2.0595706090929773e-6,9.991229053586751e-7
8,1048576,2.997063627247856e-7,1.981740836144296e-6,8.658808688968964e-7
16,1048576,3.0095557594364516e-7,1.977851441381538e-6,8.155090765654253e-7
32,1048576,3.1092274189039434e-7,1.996489471436682e-6,8.359685926139865e-7
64,1048576,4.967811260223223e-7,3.175172606465419e-6,1.2429751107096426e-6
128,1048576,2.9525171279900656e-6,5.96251943588301e-6,4.310864805728234e-6
256,1048576,4.3898292827670307e-7,3.228596709249212e-6,1.8164969769570042e-6
512,1048576,4.7176458454092936e-7,3.7527814550412277e-6,1.922937401816279e-6
1024,1048576,6.106609382603723e-7,3.623538177493119e-6,2.0019231031837434e-6
2048,524288,8.085607814809132e-7,4.760302627564327e-6,2.594383486449619e-6
4096,262144,1.16228275679942e-6,6.527364253991323e-6,3.771723311244141e-6
8192,131072,1.2900400772148583e-6,9.407121353160607e-6,5.040954202533105e-6
16384,65536,2.30963589477242e-6,1.852949832152368e-5,9.27579748940407e-6
32768,32768,4.787172882089524e-6,3.589265933230342e-5,1.8046094488622414e-5
65536,16384,1.1389669799826817e-5,7.012321380613822e-5,3.453028904533666e-5
131072,8192,2.483523059078601e-5,0.00013549556188964269,6.665939337158096e-5
262144,4096,0.00020415304052731446,0.00020427645166013614,0.0002042199867515503
524288,2048,0.0004006815712890195,0.0004011690937500388,0.0004009221069793744
1048576,1024,0.0007668471591798301,0.0007685141542968787,0.0007675816152953972
2097152,512,0.001532520884765548,0.001539172005859471,0.001535738360595718
