size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.4268911361692805e-7,2.8814158153532234e-7,2.531472104936901e-7
1,1048576,4.2407403945927296e-7,9.311679410933531e-7,7.645316672623093e-7
2,1048576,4.1207928180700996e-7,9.689884748458923e-7,7.645558084398652e-7
4,1048576,4.064148740769648e-7,9.72185557365337e-7,7.677393963634996e-7
8,1048576,4.062339105614075e-7,9.817917709353074e-7,7.714491027295891e-7
16,1048576,4.1730789184464955e-7,9.831590347285834e-7,7.737050061673042e-7
32,1048576,4.3704081439969647e-7,1.043922328948886e-6,7.86895889386497e-7
64,1048576,5.329002084728997e-7,1.4300600051881308e-6,8.109373766779947e-7
128,1048576,9.161421241766321e-7,2.5841265401830384e-6,1.528628219917494e-6
256,1048576,6.7039304733273e-7,1.7187817811967262e-6,1.1707569113671472e-6
512,1048576,6.200920400620622e-7,1.898513184546537e-6,1.363184808760867e-6
1024,1048576,5.76662310599113e-7,2.094106943132085e-6,1.5451369827834353e-6
2048,524288,5.572174682623259e-7,2.6000880241415736e-6,2.090020934700869e-6
4096,262144,6.055331802380231e-7,3.4304529418916206e-6,2.7790830670597653e-6
8192,131072,6.817842788667467e-7,5.123120224001298e-6,3.919105564832701e-6
16384,65536,2.2350530090314716e-6,9.58058305358271e-6,7.060767518521749e-6
32768,32768,4.954012145988581e-6,1.8067350494385226e-5,1.3572897418499869e-5
65536,16384,1.0783736083989004e-5,3.5025781555153655e-5,2.725718019008501e-5
131072,8192,1.8967994140626967e-5,6.804671032714692e-5,5.3716123146055804e-5
262144,4096,0.00014607824194336032,0.00014647288671876604,0.00014629772150420844
524288,2048,0.00027239324609373665,0.00027390908935547194,0.0002732125830230748
1048576,1024,0.0005574080234374869,0.0005635224365235017,0.0005608451757354656
2097152,512,0.001016994917968736,0.0010393354707031455,0.0010289341468505933
