size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.4373592376712944e-7,2.6685067939762084e-7,2.5414695325492806e-7
1,1048576,3.122193231582025e-7,1.896201087951375e-6,9.2618499846757e-7
2,1048576,3.102740077970873e-7,2.0305167255404857e-6,9.498192212730378e-7
4,1048576,3.0493687915823495e-7,2.0992649431228045e-6,9.975381703228019e-7
8,1048576,3.099158287050546e-7,2.0293732814794685e-6,8.628875398635393e-7
16,1048576,3.032685585030052e-7,2.0650677757259407e-6,8.440944842845682e-7
32,1048576,3.110310125350956e-7,2.1818011665346203e-6,9.940896604656571e-7
64,1048576,5.035714015960643e-7,3.1763347272871576e-6,1.240000963225999e-6
128,1048576,3.079316129682001e-6,5.812775551799066e-6,4.253461226746524e-6
256,1048576,4.301207780851964e-7,3.302672247885044e-6,1.734774821728511e-6
512,1048576,4.847476320267025e-7,3.3429876384727946e-6,1.8846968558728343e-6
1024,1048576,6.22452947617244e-7,3.9553185319889275e-6,2.1124752174169137e-6
2048,524288,8.241573867813734e-7,4.767951623915956e-6,2.5945127149519524e-6
4096,262144,1.2029237327476074e-6,6.591256641386899e-6,3.8040771972536414e-6
8192,131072,1.3246192703268342e-6,9.377405273449432e-6,5.117626379728567e-6
16384,65536,2.3543150024241946e-6,1.871633760070618e-5,9.572537173988365e-6
32768,32768,4.7964623413050515e-6,3.574852963255282e-5,1.788158610057614e-5
65536,16384,1.1998431274394712e-5,6.969381127931761e-5,3.431672154521948e-5
131072,8192,2.3823817871074758e-5,0.00013326230346680408,6.610299922180726e-5
262144,4096,0.0002070309780273765,0.0002071527597656761,0.00020708993327332186
524288,2048,0.0004126046347657057,0.0004130475664062168,0.0004128156698455745
1048576,1024,0.0007619280117188015,0.0007635330722656417,0.000762617010543815
2097152,512,0.0015121767597656433,0.0015195918671875308,0.001515928802551289
