size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.455852966308449e-7,2.7862846374518336e-7,2.553964036703169e-7
1,1048576,3.123765811920406e-7,1.2626083846091114e-5,2.0946245085894665e-6
2,1048576,3.0701800632423074e-7,1.25695240039827e-5,2.0778884148300175e-6
4,1048576,3.0407911014510353e-7,1.254459346580171e-5,2.071397975250907e-6
8,1048576,3.056112918810647e-7,1.2596736933705119e-5,2.0783501338511747e-6
16,1048576,3.0579123115855923e-7,1.2590424696927575e-5,2.0785965538026357e-6
32,1048576,3.146471605236403e-7,1.3260325558654422e-5,2.1755758594268184e-6
64,1048576,3.636571292798608e-7,1.3975016049389574e-5,2.2792502316535278e-6
128,1048576,1.8075910873332454e-6,1.8315336207392808e-5,4.424677906915896e-6
256,1048576,4.307731294670434e-7,1.5588822520237183e-5,3.1531194865856056e-6
512,1048576,4.7619211293779503e-7,1.63198610248466e-5,3.3442733053420983e-6
1024,1048576,6.374455394718805e-7,1.7874661529555065e-5,3.7513137094541605e-6
2048,524288,8.389505672449474e-7,1.939668000219011e-5,4.497942699191862e-6
4096,262144,1.2340750541609338e-6,2.342929860685663e-5,5.849446851496375e-6
8192,131072,1.2651017608279226e-6,2.9819656661958256e-5,8.247636638635731e-6
16384,65536,2.20502911380243e-6,4.129971269232601e-5,1.3975095027681993e-5
32768,32768,3.958227478007871e-6,6.210070153807486e-5,2.517800045871882e-5
65536,16384,7.962127502383898e-6,0.00010188805114761529,4.750936634635811e-5
131072,8192,1.738868188479875e-5,0.00018166900488291934,9.042310446170118e-5
262144,4096,0.0003020882888184334,0.00030239669946278275,0.0003022005169182112
524288,2048,0.0005101630341793478,0.0005112144531251306,0.0005105498124694835
1048576,1024,0.0010274664316406446,0.0010318692714841038,0.0010290595837707168
2097152,512,0.0019906680898436613,0.0020074795820309577,0.001996637910217344
