size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.4777877616890114e-7,2.701796064376306e-7,2.536727560758663e-7
1,1048576,4.7658086013798214e-7,8.881350412368943e-7,8.070107348114155e-7
2,1048576,4.664174499510168e-7,8.485551300046636e-7,7.775347812920717e-7
4,1048576,4.5669732856770716e-7,8.547919702530885e-7,7.841801894605148e-7
8,1048576,4.587405338287611e-7,8.581864566804411e-7,7.843476599305358e-7
16,1048576,4.5709530162804193e-7,8.637126255030133e-7,7.884932028055242e-7
32,1048576,4.702001276012438e-7,9.132223072046225e-7,8.234629441350163e-7
64,1048576,5.120724020006694e-7,9.603742170332258e-7,8.608551265150377e-7
128,1048576,8.447248983379306e-7,1.262768084525699e-6,1.1791393710225045e-6
256,1048576,8.321493368140921e-7,1.436685390472685e-6,1.2133858336508153e-6
512,1048576,7.809725704205807e-7,1.3026873474101988e-6,1.206553111612748e-6
1024,1048576,1.0030938405979632e-6,1.2554854640970995e-6,1.235708226114517e-6
2048,524288,1.3736989517211793e-6,1.8636956424706078e-6,1.8004594256876576e-6
4096,262144,2.071319763182642e-6,2.332682788849661e-6,2.3086914444567667e-6
8192,131072,3.4468262329112516e-6,4.082372642513315e-6,4.056247401237402e-6
16384,65536,5.867178649903739e-6,7.433590240477582e-6,7.374673135042408e-6
32768,32768,1.0537579498290795e-5,1.4109733154294703e-5,1.3971348778247578e-5
65536,16384,2.0320416931169814e-5,2.8461231933575668e-5,2.8162751597406243e-5
131072,8192,3.864707385252452e-5,5.6824215698239675e-5,5.601299793243365e-5
262144,4096,0.00016132452880857854,0.0001621289809570223,0.000161735997131351
524288,2048,0.00027315281689454726,0.00027883981933590415,0.0002761532196273732
1048576,1024,0.0005875101982421339,0.0006055090595704152,0.0005980906872558648
2097152,512,0.0011828529453125763,0.0012481152304687562,0.0012219128467712435
