size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.4238508129120123e-7,2.704010238647477e-7,2.52308881282807e-7
1,1048576,3.585248666763295e-6,1.3650136845588685e-5,9.727224124044202e-6
2,1048576,3.3718227682114127e-6,1.4514453832627207e-5,9.687866550430762e-6
4,1048576,3.323997641563021e-6,1.4607149538986751e-5,8.837932525246624e-6
8,1048576,3.3219832534765948e-6,1.5032872739790268e-5,9.182920051276077e-6
16,1048576,3.325307434075003e-6,1.5940984300616403e-5,9.599074884458884e-6
32,1048576,3.355490736963785e-6,1.597393894290615e-5,1.0142481594620883e-5
64,1048576,1.86430660657788e-5,1.8817380380631106e-5,1.8732150049790656e-5
128,1048576,1.9070674736960564e-5,1.9246854810706335e-5,1.9164687613577003e-5
256,1048576,2.0032234498032226e-5,2.0207007155409896e-5,2.013012528991516e-5
512,1048576,2.1063153826707595e-5,2.1233370942102262e-5,2.116367435367562e-5
1024,1048576,2.225778590772727e-5,2.2417070732129164e-5,2.235743744550721e-5
2048,524288,2.4138917016954008e-5,2.414487868120384e-5,2.4144367084684675e-5
4096,262144,2.5407540668515136e-5,2.5416957454681512e-5,2.54162863806424e-5
8192,131072,2.83531150741677e-5,2.8364774848999973e-5,2.836409727465679e-5
16384,65536,3.337821318052979e-5,3.338662243644857e-5,3.338584874487143e-5
32768,32768,4.2037039703453176e-5,4.204590023801358e-5,4.204479959298333e-5
65536,16384,6.0270140441933545e-5,6.0279118224962694e-5,6.0275885009758066e-5
131072,8192,9.790689538574648e-5,9.792481750495532e-5,9.791688334847008e-5
262144,4096,0.00017136528637706067,0.0001713914567872052,0.00017137669948958268
524288,2048,0.0003084958603514626,0.00030856695507817944,0.0003085160939026205
1048576,1024,0.000618953780272935,0.0006192264648438028,0.0006190220297240681
2097152,512,0.0012073709804673038,0.001208470439453102,0.0012076513627013808
