size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.720371627808344e-8,3.0423051834107427e-7,4.889333391934636e-8
1,1048576,9.783348586940977e-5,9.784268381119184e-5,9.784167597873183e-5
2,1048576,9.782120061779532e-5,9.782974215700797e-5,9.782865139984362e-5
4,1048576,9.784451513387103e-5,9.785256546874678e-5,9.785152871082545e-5
8,1048576,9.784403873348e-5,9.785168894575053e-5,9.78509882812914e-5
16,1048576,9.808553441330677e-5,9.809361833667667e-5,9.809274319249863e-5
32,1048576,0.00010045574171449836,0.00010046297953899825,0.00010046259871366719
64,1048576,0.00011205677379031288,0.00011206365541549307,0.00011206328592370465
128,1048576,0.000136831674470915,0.000136839880730633,0.00013683959434975768
256,1048576,0.00014706749447638407,0.00014707565008255906,0.0001470753133497037
512,1048576,0.00015273927967719746,0.00015274854841919772,0.00015274831126010137
1024,1048576,0.00016026640888314116,0.00016027766363826794,0.0001602773473374465
2048,524288,0.00017466937230313766,0.00017468869846531433,0.0001746881508763931
4096,262144,0.0002140402903405272,0.00021405950164827235,0.0002140587173743857
8192,131072,0.00028129660262309585,0.00028131626171146694,0.00028131449632289376
16384,65536,0.00046848308834903166,0.00046851000247161156,0.0004685031553586451
32768,32768,0.0009055449433892984,0.0009055817127992041,0.0009055676912599642
65536,16384,0.0018023991057722483,0.0018025130915522714,0.0018024667481889459
131072,8192,0.003652312135008162,0.003652762051878783,0.0036525830642389935
262144,4096,0.007933578837645838,0.007935516103026785,0.007934478004798906
524288,2048,0.013020156685055073,0.013026492613770202,0.013023114380235606
1048576,1024,0.02369216422362963,0.023715188409181076,0.023703167157016716
2097152,512,0.045453123658201644,0.045541192326174595,0.045496105580016794
