size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.715066337584606e-8,3.062315912246834e-7,4.889361094310842e-8
1,1048576,1.2038884429931555e-6,1.2885173664093009e-6,1.287415224462737e-6
2,1048576,1.1263867292402825e-6,1.2097446517945714e-6,1.2089134438783121e-6
4,1048576,1.2523905258177746e-6,1.3360361833569614e-6,1.3346278898157147e-6
8,1048576,1.3457326602934232e-6,1.4280930099483138e-6,1.427321980312441e-6
16,1048576,1.634362342834302e-6,1.724291297913541e-6,1.7220214205533467e-6
32,1048576,2.3531124057767855e-6,2.4502633762362936e-6,2.4232073580435173e-6
64,1048576,2.9173894767759895e-6,3.232387715339232e-6,3.094574907984513e-6
128,1048576,4.007567691803619e-6,4.996526250838716e-6,4.527466529574314e-6
256,1048576,6.120305321692942e-6,8.18431868362361e-6,7.179886883411574e-6
512,1048576,1.0044959686280816e-5,1.3601908211708554e-5,1.1867138554390614e-5
1024,1048576,1.935096932029418e-5,2.502601078510439e-5,2.221090703815974e-5
2048,524288,5.4267601284028766e-5,5.430236980057156e-5,5.430095738548055e-5
4096,262144,0.00012457322814179544,0.00012462166333388137,0.00012461927736881349
8192,131072,0.00024333885809325645,0.00024338531926727043,0.0002433820417293302
16384,65536,0.0004816151682739667,0.0004816733232269545,0.0004816681883060314
32768,32768,0.0009115430848997972,0.0009116019750976534,0.0009115952676759945
65536,16384,0.0017448429940795217,0.0017450203870849681,0.0017450043848357233
131072,8192,0.0038129686903074916,0.003813192323242471,0.0038131412185978854
262144,4096,0.014222388874999756,0.01422281652343782,0.014222638293073627
524288,2048,0.036234576628418474,0.03623707598828174,0.03623604962542727
1048576,1024,0.0772286934882821,0.07724143566601527,0.07723345512211609
2097152,512,0.1723097359238297,0.1723716614882853,0.17233235992386617
