size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.7213537216184225e-8,3.087867565154648e-7,4.8850816048680386e-8
1,1048576,1.3692007608414291e-6,1.3738541784285266e-6,1.3719243031032219e-6
2,1048576,1.225390422821162e-6,1.3063171195984678e-6,1.3041031668223426e-6
4,1048576,1.4461649198527666e-6,1.4508440780640469e-6,1.4488848515786105e-6
8,1048576,1.7170276594166126e-6,1.7221064577106878e-6,1.7200242026485786e-6
16,1048576,1.817658215523668e-6,1.9137743844980787e-6,1.909917651932675e-6
32,1048576,2.6578877286913415e-6,2.737605710028952e-6,2.7151158653497e-6
64,1048576,3.258693323135965e-6,3.3381047067636546e-6,3.3160225577019392e-6
128,1048576,4.368361090659827e-6,4.655466152191182e-6,4.553079361036425e-6
256,1048576,6.984240192415419e-6,7.967185777666129e-6,7.517974324163058e-6
512,1048576,0.00016738335591314792,0.00016739390568350907,0.00016739356430901982
1024,1048576,0.00017621333815379207,0.00017622577156544875,0.00017622535286642777
2048,524288,0.00019008756416701402,0.00019010048227500033,0.000190099923559344
4096,262144,0.00022796600474932617,0.00022797892812338586,0.00022797817419624152
8192,131072,0.0002925228309325527,0.00029253567771122136,0.00029253399089445767
16384,65536,0.0003114916492918049,0.0003115051696931728,0.0003114994564369355
32768,32768,0.0005480057996524422,0.0005480341358035379,0.0005480219893493584
65536,16384,0.0010765358531496724,0.0010766047108768245,0.0010765700644602661
131072,8192,0.0020957374846207605,0.0020959990504152287,0.002095860695794619
262144,4096,0.004149611797363478,0.0041506410187998055,0.0041500971969880875
524288,2048,0.008254297433591962,0.00825832380273639,0.008256324078878446
1048576,1024,0.016469185608400272,0.016485081811523306,0.01647871163107687
2097152,512,0.03287496180273419,0.03293826538672007,0.032917453285133444
