size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.7237833023070126e-8,3.1204276847841164e-7,4.903656199947039e-8
1,1048576,0.00011288508557796824,0.00011289355714035499,0.00011289248401011163
2,1048576,0.00011325224258332052,0.00011326016872405531,0.00011325928701497623
4,1048576,0.0001133030095939495,0.00011331078144356381,0.00011330996129303147
8,1048576,0.00011332727017215882,0.00011333459448717605,0.00011333358036591823
16,1048576,0.00011357584797284595,0.00011358297542955059,0.0001135820555412627
32,1048576,0.00011595857542802152,0.0001159658794613064,0.00011596537609446661
64,1048576,0.00012541254265787153,0.0001254203718558249,0.00012541985132974188
128,1048576,0.00015114153563972846,0.0001511495961780564,0.0001511493618563538
256,1048576,0.00016117789964199011,0.00016118594830903904,0.00016118566575246335
512,1048576,0.00016724869773278566,0.00016725755614378172,0.00016725719226665252
1024,1048576,0.00017588492033263179,0.0001758990356358651,0.00017589869946796317
2048,524288,0.00018901940959734683,0.0001890343803706892,0.00018903382443846023
4096,262144,0.0002267152574501538,0.00022673000416962522,0.00022672918682522822
8192,131072,0.0002899097825465498,0.00028992480613678623,0.000289923083071094
16384,65536,0.0003129304523166211,0.00031294435081517455,0.0003129387444862294
32768,32768,0.0005465529091180227,0.0005465770496825145,0.0005465654058936937
65536,16384,0.001074852803649537,0.0010749170320438484,0.0010748829107279224
131072,8192,0.002094993435547421,0.00209524777661127,0.002095110127702636
262144,4096,0.004147079517820396,0.004148102678956156,0.004147560076908083
524288,2048,0.00825148613037019,0.008255515610350539,0.008253469550167104
1048576,1024,0.01645814130468959,0.01647405669824087,0.01646764649956905
2097152,512,0.03287410495507981,0.032937432957035995,0.03291671126823443
