size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,262144,2.3693425369263564e-7,2.678070793151396e-7,0
4,262144,1.672792928695699e-5,1.6738824882507065e-5,1.673823965348307e-8
8,262144,1.716925428008831e-5,1.7180006973266936e-5,1.717938388594993e-5
16,262144,1.67976954078661e-5,1.6808265811920915e-5,1.680765212962033e-5
32,262144,1.8226641368864808e-5,1.8237124843596854e-5,1.823642080985012e-5
64,262144,1.8455433086395832e-5,1.8465842060089375e-5,1.846514156204474e-5
128,262144,2.2478949771883927e-5,2.2488098617551224e-5,2.248738136227424e-5
256,262144,2.3714924755092974e-5,2.3725281875616944e-5,2.3724417995810638e-5
512,262144,2.290188068008664e-5,2.291269060516359e-5,2.2911771232202912e-5
1024,262144,2.545312602234698e-5,2.546628761672929e-5,2.5465022371485548e-5
2048,131072,3.0243397064205898e-5,3.025464249419127e-5,3.025337329402587e-5
4096,65536,3.754293072509758e-5,3.755269641111437e-5,3.755193862265441e-5
8192,32768,4.482525949095657e-5,4.4837730407701164e-5,4.483660174083717e-5
16384,16384,5.907502832033437e-5,5.908703607176774e-5,5.908577043247229e-5
32768,8192,0.0001134823286132831,0.00011349301647948021,0.00011349099871635259
65536,4096,0.0001468191738281631,0.00014684128491215462,0.00014683330653667242
131072,2048,0.0002752948833008584,0.000275333633300779,0.0002753173012256666
262144,1024,0.0005484020244142934,0.0005485218046875143,0.0005484438038101275
524288,512,0.0010727083535158471,0.001073123699218692,0.0010729707159499993
1048576,256,0.002059149359374929,0.002060774882812394,0.002060456096527093
