size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,262144,2.3833687973022028e-7,2.733762893677881e-7,2.437937559336516e-7
4,262144,0.00013728438478851704,0.00013729698646927722,0.00013729610783846664
8,262144,0.00013747904555511055,0.00013749161695480525,0.00013749058506612452
16,262144,0.00013727283388138324,0.0001372854005737588,0.00013728460185748407
32,262144,0.00013940952640156855,0.0001394229943618698,0.00013942230394582665
64,262144,0.00015257752953722926,0.0001525942246360548,0.00015259351727802791
128,262144,0.000193392889049538,0.00019341153163909808,0.0001934106442477556
256,262144,0.00021242169839857169,0.00021244035943215238,0.00021243948733916908
512,262144,0.00023035300159836487,0.00023037202566142975,0.0002303707198713982
1024,262144,0.00024407339599614238,0.00024409272656252022,0.00024409166062558821
2048,131072,0.0002868756405029335,0.0002868949682387446,0.0002868928569074265
4096,65536,0.0003917218473968847,0.0003917436444853279,0.0003917393574328472
8192,32768,0.0005735033538512898,0.0005735286756897284,0.0005735209179910409
16384,16384,0.000878154641784451,0.0008781866981816024,0.000878176105784388
32768,8192,0.0016405724038079383,0.0016406374299319376,0.0016406040098152328
65536,4096,0.003461505401611331,0.0034618001618652583,0.003461656080484365
131072,2048,0.007188158273436329,0.007189137540038859,0.007188701885511368
262144,1024,0.013174192580076793,0.013178014290040507,0.013176232133384766
524288,512,0.02582171847851078,0.025835967146484506,0.025829658268089244
1048576,256,0.050655984441409174,0.05070335173828289,0.050684180688369676
