size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,262144,2.384878768921025e-7,2.6773573303221597e-7,2.440814379304668e-7
4,262144,1.6691551147460766e-5,1.6699690513610457e-5,1.6699220176756402e-5
8,262144,1.7095632759095424e-5,1.7109043502807972e-5,1.710840490621325e-5
16,262144,1.674227890777575e-5,1.675676668166964e-5,1.6756011946499406e-5
32,262144,1.8270519557950305e-5,1.828500679779157e-5,1.8284191328093593e-5
64,262144,1.8362287151332427e-5,1.8376657779694538e-5,1.837576331098364e-5
128,262144,2.2540916568758484e-5,2.2554739273073206e-5,2.255391111147419e-5
256,262144,2.376677191543625e-5,2.3780818710320424e-5,2.3779801648423296e-5
512,262144,2.3073689537045464e-5,2.308792974471953e-5,2.308670917034076e-5
1024,262144,2.5615391628265697e-5,2.5629743373869346e-5,2.5628152127475326e-5
2048,131072,3.0481059844978753e-5,3.0494997375489974e-5,3.0493441263526296e-5
4096,65536,3.9505609664910036e-5,3.951950917054829e-5,3.9515484336495745e-5
8192,32768,6.921802941892868e-5,6.923115838622178e-5,6.922628173124766e-5
16384,16384,0.0001758032119751076,0.00017600398413080733,0.0001759826931242959
32768,8192,0.00023336227233889967,0.00023339030725097205,0.00023338245333718978
65536,4096,0.00043760698559561044,0.00043766054565433365,0.0004376355629968662
131072,2048,0.000876273721191409,0.0008764569184571726,0.0008763868036937764
262144,1024,0.0015063055712893902,0.0015070292910155103,0.001506730817520147
524288,512,0.003010558587890705,0.0030135174824216238,0.0030122887805175786
1048576,256,0.005269440921875368,0.005279969507812177,0.005275589962371806
