size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,262144,2.3842267608656106e-7,2.624424209594994e-7,2.419501885920737e-7
4,262144,1.4844023086548612e-5,1.486786569213884e-5,1.4855606517136095e-5
8,262144,1.5226302387237272e-5,1.5253982971190841e-5,1.5240865745633755e-5
16,262144,1.4935818328857197e-5,1.4967262016296471e-5,1.4952940374001724e-5
32,262144,1.567916755676286e-5,1.571144781875542e-5,1.569742258504037e-5
64,262144,1.7949232498165645e-5,1.798347359466386e-5,1.7967327935859792e-5
128,262144,2.0389436405181453e-5,2.0438973491671304e-5,2.0424690532058305e-5
256,262144,2.0833167278292477e-5,2.0861439655300355e-5,2.0855439688667727e-5
512,262144,2.249943397521651e-5,2.2513941112515737e-5,2.2511526542871396e-5
1024,262144,2.9116527236933674e-5,2.9131817314149522e-5,2.9130261979639206e-5
2048,131072,4.972437714386574e-5,4.9736284866327236e-5,4.9735184889197326e-5
4096,65536,8.979016098021025e-5,8.980416427611178e-5,8.980247353064988e-5
8192,32768,0.00016156943902589645,0.0001615810185546841,0.00016157842771113008
16384,16384,0.0002952504246215796,0.00029527284851079165,0.0002952643690018687
32768,8192,0.0005839510051268582,0.0005840036287841043,0.0005839843944120275
65536,4096,0.0011724577648924428,0.0011726983666992576,0.0011726096660041841
131072,2048,0.002240343876952988,0.0022410653627927962,0.002240861931539529
262144,1024,0.004014171769531297,0.00401513916406257,0.004014772644073476
524288,512,0.008205996705078433,0.008212731759765834,0.00821154027177429
1048576,256,0.01691322766406228,0.0169257499765621,0.016922373976272623
