size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,262144,2.3801276016237495e-7,2.7327899932856465e-7,2.4531257754564067e-7
4,262144,1.4816244316101582e-5,1.4840130775451092e-5,1.4828008656740182e-5
8,262144,1.5186608459473337e-5,1.5210671390532788e-5,1.5198073848500897e-5
16,262144,1.4834419075015298e-5,1.4860519176482787e-5,1.484695451824367e-5
32,262144,1.552206287002664e-5,1.5556097976685695e-5,1.5542736787125632e-5
64,262144,1.7910697887421717e-5,1.795351154708801e-5,1.7938209635868916e-5
128,262144,2.0395921611786083e-5,2.0437126567840065e-5,2.0423378120884197e-5
256,262144,2.063404130172332e-5,2.065078511810791e-5,2.0646667347818792e-5
512,262144,2.261303080750555e-5,2.262546518325755e-5,2.2623013329938082e-5
1024,262144,0.0002481534409866502,0.0002481753449630879,0.00024817344418144317
2048,131072,0.00024812254569244146,0.000248145561279288,0.00024814335757133396
4096,65536,0.0002484472678680313,0.00024846577310178464,0.00024846250623959
8192,32768,0.0003321060455627979,0.00033211856747430903,0.0003321149681303397
16384,16384,0.0003124456697387989,0.0003124670906982374,0.000312462514984612
32768,8192,0.00039702636047345835,0.00039704062280288693,0.0003970385731687579
65536,4096,0.00040367895483389704,0.0004037055014647836,0.00040369838728618774
131072,2048,0.0005016638945307544,0.0005017061337892342,0.0005016855545463411
262144,1024,0.0007089962880857947,0.000709087262696001,0.0007090541796416835
524288,512,0.001144656291014734,0.001144834238281378,0.0011447258577575688
1048576,256,0.002367585601563249,0.0023682758476573085,0.00236791990248109
