size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,262144,2.3798939514158394e-7,2.765301055907685e-7,2.433893222212806e-7
4,262144,1.4808856472016052e-5,1.483309432601926e-5,1.48218883875459e-5
8,262144,1.5193700775147162e-5,1.5222550804138107e-5,1.521079246100787e-5
16,262144,1.4903732429505009e-5,1.4934997776032298e-5,1.4922216950535918e-5
32,262144,1.5643724906920812e-5,1.5675969444275136e-5,1.5661877050280635e-5
64,262144,1.8117523735045393e-5,1.814880503845017e-5,1.8132842884793895e-5
128,262144,2.045392087173896e-5,2.0494621677397546e-5,2.0481980237439364e-5
256,262144,2.0862089233398846e-5,2.088080563735677e-5,2.087592802751047e-5
512,262144,2.268990860748073e-5,2.2704489517209447e-5,2.2701933232262086e-5
1024,262144,0.0002476064081840611,0.0002476301862945543,0.00024762859779924073
2048,131072,0.00024766347106167476,0.00024768846492767495,0.0002476867877599294
4096,65536,0.00024801784141544655,0.0002480430397491843,0.0002480408806087966
8192,32768,0.00033218781072993746,0.0003321952295531304,0.00033219281834268944
16384,16384,0.00031255067761235336,0.0003125597643431864,0.0003125567883882524
32768,8192,0.0003933760679931224,0.0003933951597899603,0.00039339223163889703
65536,4096,0.00040112431298850587,0.0004011494562989257,0.0004011435837021014
131072,2048,0.0005024469726559733,0.000502491356445256,0.0005024754603366679
262144,1024,0.0007067685312501792,0.0007068539999997847,0.0007068141178284065
524288,512,0.0011465702636718755,0.0011467434003907262,0.0011466641813354542
1048576,256,0.0023011107304684586,0.0023018327812497352,0.00230152600181574
