size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.4487200069425065e-7,2.733408365249613e-7,2.596459296196682e-7
1,1048576,0.0001376307673253999,0.0001376426136751186,0.0001376418079375287
2,1048576,0.00013780746273707182,0.00013782001651382297,0.0001378191397610272
4,1048576,0.0001378594557589997,0.00013787054075336982,0.00013786965715675243
8,1048576,0.00013820241812134384,0.00013821518225671825,0.00013821432215125085
16,1048576,0.00013800140357400907,0.00013801226555248253,0.00013801143110000783
32,1048576,0.00014021206785781563,0.00014022237407775116,0.0001402217737491852
64,1048576,0.00015339435071280879,0.00015340754344361242,0.00015340690655879326
128,1048576,0.00019596038850120648,0.00019597262748618214,0.00019597200724320795
256,1048576,0.00021473560822398807,0.00021474855686946424,0.00021474782867602425
512,1048576,0.00023551126746164993,0.0002355254182310302,0.000235524462395721
1024,1048576,0.00025304438483253217,0.00025305924390123615,0.0002530583990239314
2048,524288,0.00029761720113159924,0.00029763272437093816,0.0002976312488163518
4096,262144,0.00040814846816224735,0.0004081646297229378,0.0004081616905701851
8192,131072,0.0006014799489282574,0.0006015001282887525,0.0006014950840866282
16384,65536,0.0009200081375578054,0.0009200326256565,0.0009200280127244998
32768,32768,0.0017179962391360853,0.0017180238932805875,0.0017180137386296596
65536,16384,0.003609890212097816,0.0036100397801487605,0.003609985302493364
131072,8192,0.007440661293211914,0.0074409382796652435,0.007440807880436733
262144,4096,0.013531890577392347,0.013532816505129497,0.013532359359609586
524288,2048,0.02644186966210027,0.026445540485351193,0.026443921285837245
1048576,1024,0.05138174856933819,0.051393428680651,0.051388393700672316
2097152,512,0.11260470753710816,0.11264353938867622,0.11262907044907311
