size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.4565785598756047e-7,2.776624202728243e-7,2.602038305178272e-7
1,1048576,1.650802980804484e-5,1.652044053840625e-5,1.651955608594034e-5
2,1048576,1.6419417481420724e-5,1.6430495156287463e-5,1.6429620925553183e-5
4,1048576,1.6427355133057202e-5,1.6437514024736606e-5,1.6436729472525486e-5
8,1048576,1.645049257660452e-5,1.6463221004483575e-5,1.6462454082433278e-5
16,1048576,1.6422038760186006e-5,1.6434607016562407e-5,1.6433843220170442e-5
32,1048576,1.8020022804258055e-5,1.8034365356437267e-5,1.8033535762454914e-5
64,1048576,1.8113131721503423e-5,1.8127606849662207e-5,1.8126704969420695e-5
128,1048576,2.1970798011779278e-5,2.19829868001996e-5,2.1982060527047818e-5
256,1048576,2.3693557420733925e-5,2.3705700417520943e-5,2.3704672446038924e-5
512,1048576,2.3347761213294524e-5,2.3360687529559075e-5,2.335938115766351e-5
1024,1048576,2.589949163438174e-5,2.5912372371681672e-5,2.5910869405787157e-5
2048,524288,3.029162496948003e-5,3.0305074542987995e-5,3.0302959924310598e-5
4096,262144,3.740254895784258e-5,3.741586113355862e-5,3.741347280481413e-5
8192,131072,4.520340158078464e-5,4.5217557723988694e-5,4.5214752401411185e-5
16384,65536,5.986114997874343e-5,5.987505140696032e-5,5.987200935543514e-5
32768,32768,9.5270240661657e-5,9.528922918700285e-5,9.528631812930253e-5
65536,16384,0.0001473023643797297,0.00014732484423854095,0.0001473167425024399
131072,8192,0.0002755399510498066,0.0002755766003418106,0.00027555779250097126
262144,4096,0.0005474878981937409,0.0005475664934082025,0.0005475294304781043
524288,2048,0.0011753002246097655,0.0011754848740238855,0.0011754183622284284
1048576,1024,0.002266455611328544,0.0022668682880846447,0.00226671901861949
2097152,512,0.00548062119531223,0.005482511392578715,0.005481854760696418
