size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.4295945167539037e-7,2.7751613140103856e-7,2.626006971932943e-7
1,1048576,1.651415186023733e-5,1.6526599548341076e-5,1.6525884899187812e-5
2,1048576,1.6457001935003558e-5,1.646937203502551e-5,1.6468634091477752e-5
4,1048576,1.638654912471534e-5,1.639882862186443e-5,1.6398048470396745e-5
8,1048576,1.6493158704753657e-5,1.6505553227424374e-5,1.6504745594903644e-5
16,1048576,1.6532621762270058e-5,1.654492688656717e-5,1.654415200908511e-5
32,1048576,1.7914614985458803e-5,1.792688243103145e-5,1.792600990880981e-5
64,1048576,1.8004148638728752e-5,1.8016163077358907e-5,1.8015205957635772e-5
128,1048576,2.150251092148185e-5,2.1514346772180792e-5,2.1513332843844468e-5
256,1048576,2.3014470433241075e-5,2.302654025935035e-5,2.3025457619223962e-5
512,1048576,2.2613119136813826e-5,2.2625985733014115e-5,2.2624611079744913e-5
1024,1048576,2.5039522755623703e-5,2.5052348396310435e-5,2.505050477735294e-5
2048,524288,2.901976225284388e-5,2.9034531536100176e-5,2.9031776379256766e-5
4096,262144,3.857908887863e-5,3.859446620178776e-5,3.858997850564128e-5
8192,131072,6.938348307800111e-5,6.940360124196182e-5,6.939706910395592e-5
16384,65536,0.00018008492500304688,0.00018022277542119932,0.00018020413371419607
32768,32768,0.00023385092327865564,0.00023388836758429267,0.0002338806567274108
65536,16384,0.0004419419782104167,0.0004419861271364213,0.0004419728366117351
131072,8192,0.000886144251709374,0.0008862082866208792,0.0008861776175709067
262144,4096,0.001582579910400131,0.001582790837402398,0.0015827077866496966
524288,2048,0.0031536747265634435,0.0031544224912110064,0.0031541346380806403
1048576,1024,0.005371987766602582,0.005374617994139852,0.005373636711486909
2097152,512,0.01178844763281317,0.011800355818359365,0.011796013609817505
