size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.47105648994457e-7,3.1256403160098883e-7,2.602223419323526e-7
1,1048576,1.4894305816650002e-5,1.4930301884651516e-5,1.4915777664668876e-5
2,1048576,1.490519808769167e-5,1.4941673213957333e-5,1.4925979104325233e-5
4,1048576,1.4962264568326621e-5,1.500028282833295e-5,1.4983991692468253e-5
8,1048576,1.4990101667406783e-5,1.5027943222999255e-5,1.5011301661159715e-5
16,1048576,1.5032145106316619e-5,1.506764820194394e-5,1.5050895781058703e-5
32,1048576,1.5865840833661552e-5,1.592094760418392e-5,1.5903509768788335e-5
64,1048576,1.8048499307637432e-5,1.81000016412597e-5,1.808109432906292e-5
128,1048576,2.0254292280202373e-5,2.0292196207048453e-5,2.027756773208772e-5
256,1048576,2.0805910462376378e-5,2.083044104194922e-5,2.0824264416124503e-5
512,1048576,2.267661089706851e-5,2.26932191677045e-5,2.2690019486007674e-5
1024,1048576,2.9056539854050583e-5,2.9071895780560358e-5,2.9069283871873943e-5
2048,524288,4.960581047819696e-5,4.962013443564079e-5,4.961726515473552e-5
4096,262144,8.998871038054979e-5,9.000364260481188e-5,9.000073652431218e-5
8192,131072,0.00016119020827479267,0.00016120518905650633,0.00016120233429190402
16384,65536,0.00029350851989756906,0.00029352550321954697,0.00029352158495414527
32768,32768,0.0005849512537230827,0.0005849781915585883,0.0005849668562264588
65536,16384,0.0011695974581909171,0.0011696535524902026,0.0011696338794806153
131072,8192,0.0022516479846190207,0.0022518323215333855,0.0022517726388444704
262144,4096,0.0040261372946777535,0.004026392735107839,0.0040262969262171286
524288,2048,0.008103940156738376,0.008104674454590843,0.008104400387458776
1048576,1024,0.016461216924805733,0.016464224083982848,0.01646341399642566
2097152,512,0.03709292872460923,0.03710569908984329,0.03710186480065925
