size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.463270187377935e-7,2.7886302471158233e-7,2.602468227744055e-7
1,1048576,1.4912665807724482e-5,1.4955987267494873e-5,1.4939979972951165e-5
2,1048576,1.5031133063317e-5,1.5079530503273129e-5,1.5061283952586554e-5
4,1048576,1.5077959259988308e-5,1.5128898088455723e-5,1.5110246193643916e-5
8,1048576,1.5061490728375142e-5,1.510873275947991e-5,1.5090483721338366e-5
16,1048576,1.5104218670847932e-5,1.5158163118358765e-5,1.513975184883558e-5
32,1048576,1.5974188809394233e-5,1.6041257516856517e-5,1.6020700299058064e-5
64,1048576,1.8383072602275296e-5,1.8433464579585608e-5,1.8410073933046197e-5
128,1048576,2.0331953054431956e-5,2.0399856866830683e-5,2.0383518839392566e-5
256,1048576,0.0002488765816116668,0.00024891187087058977,0.0002489092249950329
512,1048576,0.00024909061754035125,0.0002491125303134256,0.0002491100574251789
1024,1048576,0.0002495567480363676,0.0002495793787584286,0.0002495768539707896
2048,524288,0.0002492911775647268,0.0002493134039095867,0.00024931072211308394
4096,262144,0.00024903264829603724,0.0002490670170135793,0.00024906413090084774
8192,131072,0.0003278486370547305,0.0003278629706273111,0.0003278595041504403
16384,65536,0.00031296349334657136,0.00031297876057426524,0.00031297485970056696
32768,32768,0.000394840525634807,0.00039485802163752304,0.0003948546605736805
65536,16384,0.0004026714202869236,0.00040269220330808875,0.0004026870490493556
131072,8192,0.000507207557373518,0.000507245974975673,0.0005072311782497883
262144,4096,0.0007230162324199374,0.0007231117995606384,0.0007230762582778178
524288,2048,0.001149449069336561,0.0011495973373992774,0.0011495476565362025
1048576,1024,0.0023771001191412733,0.0023773130039064228,0.0023772172112847025
2097152,512,0.005613713046876967,0.005614560158210491,0.005614093332633872
