size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.4742058658598045e-7,2.733659572601385e-7,2.6004804502054664e-7
1,1048576,1.4924790708540878e-5,1.496522036457107e-5,1.4950057116012995e-5
2,1048576,1.502703666401286e-5,1.5074136300086298e-5,1.505702170294897e-5
4,1048576,1.504973263454734e-5,1.509428926753797e-5,1.5076707020659027e-5
8,1048576,1.5097906664844454e-5,1.5142291516298953e-5,1.5124510901473772e-5
16,1048576,1.509815225123233e-5,1.5139991548542266e-5,1.512278977892866e-5
32,1048576,1.595661188983422e-5,1.601176740931637e-5,1.5993150641415074e-5
64,1048576,1.7937517812734397e-5,1.7972127486234605e-5,1.7953753478386427e-5
128,1048576,2.012797381593046e-5,2.016246452806715e-5,2.0148871188886582e-5
256,1048576,0.0002482479255113718,0.00024828655603023386,0.00024828438979019327
512,1048576,0.0002485364601497062,0.00024858007736301485,0.00024857780176552614
1024,1048576,0.0002490085867786167,0.00024905012758820184,0.00024904769240310275
2048,524288,0.0002485590715025612,0.0002485859291324725,0.00024858347992388555
4096,262144,0.00024852083880968785,0.00024854456266007116,0.00024854199884205715
8192,131072,0.00032692404127452647,0.00032693671070887706,0.0003269335613277202
16384,65536,0.0003122305927883845,0.0003122488304443359,0.00031224544372628575
32768,32768,0.000393212371980145,0.0003932282883306881,0.0003932251078400524
65536,16384,0.00040137978655999107,0.0004014142059321907,0.0004014075396499504
131072,8192,0.000506375421140931,0.0005064215278332562,0.0005064043542985873
262144,4096,0.0007233640473635061,0.0007234673637689371,0.0007234268931990244
524288,2048,0.0011425886557584475,0.0011427441123045279,0.001142690806158198
1048576,1024,0.002365437231444112,0.002365667812498584,0.002365558260204139
2097152,512,0.005592493312501556,0.0055929713261719805,0.005592816160392755
