size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.3223062610630656e-7,2.438858833312793e-7,2.3833636045454406e-7
1,1048576,2.5222977581025068e-6,2.5228434915544454e-6,2.5226086032390617e-6
2,1048576,2.5020091142648797e-6,2.5024130096430446e-6,2.502263917326713e-6
4,1048576,2.508436172484873e-6,2.508941936492499e-6,2.508777645111026e-6
8,1048576,2.5101820583343485e-6,2.5107740945822047e-6,2.5105417397021724e-6
16,1048576,2.5082621431344468e-6,2.5087783174512403e-6,2.5085884398222717e-6
32,1048576,2.9014344139112136e-6,2.914776280402826e-6,2.9067927658561946e-6
64,1048576,2.935915070534166e-6,2.9399110565190413e-6,2.9377630685575454e-6
128,1048576,3.6329057397848007e-6,3.6400653123860595e-6,3.6360921519998066e-6
256,1048576,3.989221847533574e-6,3.989680002211846e-6,3.989461617469716e-6
512,1048576,4.2116027402870135e-6,4.21293035030681e-6,4.212447969436266e-6
1024,1048576,4.856086457246699e-6,4.857994313244795e-6,4.857228351830087e-6
2048,524288,6.274371303549933e-6,6.276888545990399e-6,6.276132346866272e-6
4096,262144,8.341259746545731e-6,8.34987270735492e-6,8.345920966142797e-6
8192,131072,1.1056122932424613e-5,1.1064538375841983e-5,1.1062348201749745e-5
16384,65536,1.4880188522324372e-5,1.4888493545532145e-5,1.4886960786817503e-5
32768,32768,2.272511700437854e-5,2.2729359832776184e-5,2.2727898242951564e-5
65536,16384,3.82363409423608e-5,3.8244363342311745e-5,3.8240450347915955e-5
131072,8192,6.998077929683787e-5,6.998729211429421e-5,6.998411366272619e-5
262144,4096,0.00013313909814447258,0.00013314507812500417,0.00013314251693723883
524288,2048,0.00023556827099608518,0.00023557454394530428,0.00023557160992434363
1048576,1024,0.0004616494570312199,0.00046165723339861714,0.0004616518402099489
2097152,512,0.0008761496308592603,0.0008762113183595072,0.0008761800117187898
