size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.2876825046541396e-7,2.5038188743592165e-7,2.379009892940588e-7
1,1048576,4.4525946521760745e-6,4.452902260780216e-6,4.452788174033219e-6
2,1048576,4.460864761351911e-6,4.461123184204378e-6,4.46103527033318e-6
4,1048576,4.472503260612749e-6,4.472716782568266e-6,4.472640766740124e-6
8,1048576,4.75399017047722e-6,4.75470606994791e-6,4.754387375235534e-6
16,1048576,4.748006378174257e-6,4.751953601840076e-6,4.751284265161636e-6
32,1048576,5.367080115318267e-6,5.375998052594324e-6,5.374789903640249e-6
64,1048576,5.1102142963437285e-6,5.115258421896655e-6,5.114567353606731e-6
128,1048576,5.733800139429269e-6,5.734152969362122e-6,5.733969739557721e-6
256,1048576,6.319352456090055e-6,6.321640579227116e-6,6.321170464754565e-6
512,1048576,6.8042489376086025e-6,6.806346973413152e-6,6.805877525089679e-6
1024,1048576,7.869218600273783e-6,7.873009367944284e-6,7.872362440585972e-6
2048,524288,1.0552259351740025e-5,1.055586195564367e-5,1.055504478144888e-5
4096,262144,1.4104833911883583e-5,1.4107197525020882e-5,1.410633132742546e-5
8192,131072,1.9028172996508755e-5,1.903210716248092e-5,1.903067555713794e-5
16384,65536,3.07626987152245e-5,3.0767080856294654e-5,3.0765623189938545e-5
32768,32768,3.904124057008476e-5,3.905596533203227e-5,3.905216120147733e-5
65536,16384,6.669997521974516e-5,6.672411596685222e-5,6.671384517668855e-5
131072,8192,0.00012108944665525402,0.00012111052868653618,0.00012110205973814314
262144,4096,0.0002308332416991847,0.00023086112817400153,0.00023084913226315918
524288,2048,0.00043799109521496654,0.00043805450195289614,0.0004380357092284822
1048576,1024,0.0008488437666012844,0.0008488671826170913,0.0008488625466308089
2097152,512,0.0016514767246092188,0.001651730523437367,0.001651642383056623
