size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.298616924285513e-7,2.4542327594752955e-7,2.3477898478506572e-7
1,1048576,2.549548057555988e-6,2.5502058649060727e-6,2.54985899198047e-6
2,1048576,2.5252948989867384e-6,2.527960217475859e-6,2.5274544589518373e-6
4,1048576,2.531439959526247e-6,2.5325801553727396e-6,2.5322391313314786e-6
8,1048576,8.246971083640854e-6,8.249914759636396e-6,8.24946488296988e-6
16,1048576,8.233129091260434e-6,8.234752636909724e-6,8.234438483476907e-6
32,1048576,8.265677041052307e-6,8.268196210863271e-6,8.267743341802853e-6
64,1048576,8.30303760147195e-6,8.30572279262581e-6,8.305251689315217e-6
128,1048576,8.267729396821514e-6,8.269581773761698e-6,8.269259730816768e-6
256,1048576,9.92004323768922e-6,9.923600834847837e-6,9.923081936359432e-6
512,1048576,1.0132040191652643e-5,1.0136790527352115e-5,1.0135960444453866e-5
1024,1048576,1.0988706661221127e-5,1.0992730084433236e-5,1.0991687451245276e-5
2048,524288,1.2811059873579019e-5,1.281633835982965e-5,1.2813985985281035e-5
4096,262144,1.4046353652948324e-5,1.4051275951378235e-5,1.4048514712327046e-5
8192,131072,1.7920910812368606e-5,1.7927785751335247e-5,1.792446812724591e-5
16384,65536,2.181959951781773e-5,2.1828795822096368e-5,2.1826240081783573e-5
32768,32768,2.807631582636e-5,2.808295413207892e-5,2.8081258621224755e-5
65536,16384,4.129250524900416e-5,4.130034808347716e-5,4.129762197112774e-5
131072,8192,7.082782421874087e-5,7.084084631338132e-5,7.083354524229247e-5
262144,4096,0.00013400108984374867,0.00013401265502929402,0.00013400862072755586
524288,2048,0.00026079678515623234,0.0002608102578123342,0.0002608044513549941
1048576,1024,0.0005094465136717269,0.0005094752626953608,0.0005094667667237367
2097152,512,0.0008961135019530109,0.00089616726171865,0.0008961413671875196
