size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.6169517040257456e-7,2.736750593186217e-7,2.6738482725621507e-7
1,1048576,3.815136342048782e-6,3.817216251373458e-6,3.81639032518861e-6
2,1048576,4.01659329223663e-6,4.01836224079129e-6,4.017743145823479e-6
4,1048576,4.00721601104782e-6,4.008952641486935e-6,4.008379985213702e-6
8,1048576,3.997689793588977e-6,3.999340335846985e-6,3.998790265918065e-6
16,1048576,3.925319940567753e-6,3.9268258476260764e-6,3.926265474200153e-6
32,1048576,3.8418308553706345e-6,3.842272494313282e-6,3.841987729907121e-6
64,1048576,4.076408914565396e-6,4.076695767401565e-6,4.076514857529858e-6
128,1048576,4.954345202443301e-6,4.954469511978602e-6,4.954414318798583e-6
256,1048576,6.172885753638128e-6,6.173691534991878e-6,6.173496897341876e-6
512,1048576,6.829800040244819e-6,6.830619666098782e-6,6.8302997064584685e-6
1024,1048576,7.623347986220661e-6,7.6245927515052555e-6,7.6243425897367164e-6
2048,524288,9.67274610900929e-6,9.674052524573127e-6,9.673726913693252e-6
4096,262144,1.3329696681962277e-5,1.3331303718586466e-5,1.3330812246328095e-5
8192,131072,1.991861379240542e-5,1.9921940277078855e-5,1.9920630501742503e-5
16384,65536,2.88666755981356e-5,2.8869248077386268e-5,2.8868124195088792e-5
32768,32768,4.918811059570439e-5,4.9197031341566885e-5,4.91941977767865e-5
65536,16384,8.960056811526708e-5,8.96119422607606e-5,8.960837593078642e-5
131072,8192,0.00017396023278808993,0.00017397232946782595,0.00017396698277283578
262144,4096,0.00031676063671878113,0.00031677424853503514,0.0003167686940307329
524288,2048,0.0006062789306641655,0.0006063781743162744,0.0006063433793334176
1048576,1024,0.0011565396962889274,0.0011566185078123042,0.001156599500366163
2097152,512,0.002323695167968487,0.0023242425546873557,0.0023240618586424303
