size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.6230315303798807e-7,2.7062972736360334e-7,2.667976431846645e-7
1,1048576,2.5683505945204835e-6,2.5708687553403815e-6,2.5703087388276735e-6
2,1048576,2.548022350311875e-6,2.5496988735196814e-6,2.549170215964388e-6
4,1048576,2.5459107923515227e-6,2.550248262405244e-6,2.549396126508733e-6
8,1048576,2.547318678854855e-6,2.5495475788126243e-6,2.548876721382137e-6
16,1048576,2.546929466247785e-6,2.54744658660603e-6,2.547163231849307e-6
32,1048576,2.926825356482883e-6,2.937428280829513e-6,2.9300675147773804e-6
64,1048576,2.9761424922920914e-6,2.982648006440024e-6,2.9787343549725326e-6
128,1048576,3.6703801832190675e-6,3.674648081782439e-6,3.671857669354155e-6
256,1048576,3.998696817401236e-6,3.999701988220588e-6,3.999223165512676e-6
512,1048576,4.234134098055292e-6,4.234927509310716e-6,4.234607971668426e-6
1024,1048576,4.862123548508164e-6,4.8628741483720434e-6,4.862528073549988e-6
2048,524288,6.224856714249821e-6,6.2256632480596794e-6,6.225384453297191e-6
4096,262144,8.343913433069672e-6,8.345846908565483e-6,8.344863931178224e-6
8192,131072,1.2253480125425575e-5,1.2256902961730546e-5,1.2255565825467315e-5
16384,65536,1.9209222534178868e-5,1.921027294921366e-5,1.9209779216766834e-5
32768,32768,3.463222964476668e-5,3.463527673341622e-5,3.4634485610962406e-5
65536,16384,6.439111975098952e-5,6.439984869386966e-5,6.439673184968918e-5
131072,8192,0.00012225977453608587,0.00012227006591789512,0.00012226484561155047
262144,4096,0.0002267794064941247,0.0002267935676269709,0.00022678714263915764
524288,2048,0.0004140503891602379,0.0004141054711913131,0.000414088413085956
1048576,1024,0.0008484692480467335,0.0008487114824217157,0.0008486336619873457
2097152,512,0.0017228259589841532,0.0017235043164063463,0.0017232508669433825
