size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.573586692809577e-7,2.809435615539425e-7,2.6373759484291876e-7
1,1048576,2.602813818931662e-6,2.6035585994719585e-6,2.603242888689054e-6
2,1048576,2.5708973836898395e-6,2.5717641830445775e-6,2.571450560450468e-6
4,1048576,2.563279714584554e-6,2.564168842316001e-6,2.5638947910067174e-6
8,1048576,8.228928828239465e-6,8.23008539486109e-6,8.229784926652969e-6
16,1048576,8.223601928709095e-6,8.22542396640874e-6,8.22498064064954e-6
32,1048576,8.238927875518463e-6,8.241055594449445e-6,8.240617754697686e-6
64,1048576,8.238773403165829e-6,8.240885692596449e-6,8.240483225226139e-6
128,1048576,8.259863505359525e-6,8.261198195464084e-6,8.260813454271863e-6
256,1048576,9.8545518751116e-6,9.856662908553973e-6,9.855964997410457e-6
512,1048576,1.009531821059417e-5,1.0096744863519286e-5,1.0096323279023063e-5
1024,1048576,1.0986536759387445e-5,1.0988146710396013e-5,1.098775713896818e-5
2048,524288,1.2737950347903207e-5,1.2739896680850828e-5,1.2739308772806173e-5
4096,262144,1.4285450328830652e-5,1.4286985881798689e-5,1.4286333277228506e-5
8192,131072,1.782922064206703e-5,1.7830791618339927e-5,1.7830108249665576e-5
16384,65536,2.1515015930189188e-5,2.1517126907364152e-5,2.1516309366219235e-5
32768,32768,2.8099645629900416e-5,2.8102204193140596e-5,2.8101144290925068e-5
65536,16384,4.094728094482247e-5,4.095358593744682e-5,4.095064462280565e-5
131072,8192,6.965508764648215e-5,6.96626257323859e-5,6.966015119935103e-5
262144,4096,0.00013243074169925692,0.00013243975610341407,0.0001324368478393548
524288,2048,0.0002574632441407973,0.0002574768872069186,0.0002574719696655462
1048576,1024,0.000509451037109615,0.0005095184501953398,0.0005094866113281495
2097152,512,0.0009097850214841441,0.0009098409765624926,0.000909811061035111
