size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.2340575478452251e-7,2.3167405416302245e-7,2.2591095999446864e-7
1,1048576,2.593432179676114e-6,2.5978311919416797e-6,2.5970125148988554e-6
2,1048576,2.586391881109762e-6,2.589593123492051e-6,2.5888032229581803e-6
4,1048576,2.5815042210552974e-6,2.5845468463181476e-6,2.583970750258402e-6
8,1048576,2.5883038250462675e-6,2.591130030982214e-6,2.5905785558111294e-6
16,1048576,2.6033427720228985e-6,2.6062208307031653e-6,2.605712057263121e-6
32,1048576,2.977026789086068e-6,2.9801134662221784e-6,2.979106087819261e-6
64,1048576,3.053545440501182e-6,3.0574136313799016e-6,3.056152093255937e-6
128,1048576,3.859185367272033e-6,3.863570208650913e-6,3.861998542159517e-6
256,1048576,4.123440275005663e-6,4.1280463736192985e-6,4.126197823806077e-6
512,1048576,4.182597681978706e-6,4.190955511518268e-6,4.188091843077002e-6
1024,1048576,4.5783864708326405e-6,4.58531348512814e-6,4.58130962449621e-6
2048,524288,6.30891250263943e-6,6.320294639650115e-6,6.312378500128446e-6
4096,262144,8.481460932685536e-6,8.488413769214276e-6,8.483259614000538e-6
8192,131072,1.2300744192117463e-5,1.2302032711630773e-5,1.2301351622889811e-5
16384,65536,2.9710610981226182e-5,2.9716620069564215e-5,2.9714810760861354e-5
32768,32768,4.511477369817385e-5,4.512179400961713e-5,4.511948039542801e-5
65536,16384,7.359957717767429e-5,7.36044255802426e-5,7.360266890010791e-5
131072,8192,0.00013013226788416432,0.00013014001137889863,0.00013013649196125243
262144,4096,0.00025140438361859196,0.000251429274385373,0.0002514163396156732
524288,2048,0.00048799957778555836,0.0004880742931163695,0.0004880347947135988
1048576,1024,0.0009292452648423932,0.0009292703198298113,0.0009292599516754763
2097152,512,0.0018114004515155102,0.001811531589282822,0.0018114684596639563
