size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.2328016013872798e-7,2.3311195285202757e-7,2.2535723787076023e-7
1,1048576,5.275127175075056e-6,5.284825755902389e-6,5.283165386088529e-6
2,1048576,5.275055420916885e-6,5.284400133032108e-6,5.282882272583667e-6
4,1048576,5.297658982605924e-6,5.305831056290344e-6,5.304359902369438e-6
8,1048576,5.3215727477962105e-6,5.327283936207294e-6,5.326134694366713e-6
16,1048576,5.319128348002522e-6,5.3277761655756706e-6,5.326386278481365e-6
32,1048576,5.962577180440576e-6,5.972192379299912e-6,5.970385693221392e-6
64,1048576,6.217729627611135e-6,6.2278258432524325e-6,6.226083830163098e-6
128,1048576,7.321820396644085e-6,7.3307615426898565e-6,7.327915413662955e-6
256,1048576,8.005585613979349e-6,8.01453778143113e-6,8.011018856390884e-6
512,1048576,7.793083229845621e-6,7.80014053702871e-6,7.797518839419704e-6
1024,1048576,8.404619622037757e-6,8.411327520940759e-6,8.408499831247251e-6
2048,524288,1.0938949942307374e-5,1.094835594184218e-5,1.0945012823782019e-5
4096,262144,1.4889578480392629e-5,1.4896231903094304e-5,1.4892243945574535e-5
8192,131072,1.900968930890201e-5,1.9019471707792945e-5,1.9013997676120553e-5
16384,65536,3.1392717581013585e-5,3.140394327161289e-5,3.139731005585844e-5
32768,32768,5.367597170646832e-5,5.368585912890467e-5,5.3681829615293e-5
65536,16384,9.417770849040608e-5,9.418367190505705e-5,9.418115210380051e-5
131072,8192,0.00015141254993977782,0.000151418370819556,0.00015141582981925694
262144,4096,0.00025710038835313753,0.0002571121000300991,0.000257108276350948
524288,2048,0.0004456792272549137,0.0004456978545022139,0.00044569097386215617
1048576,1024,0.0008801281319392729,0.000880261142810923,0.000880200727749525
2097152,512,0.0016297230158670573,0.0016300181282531412,0.0016298603490554342
