size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.2336252825105873e-7,2.321949226224973e-7,2.2495818308154725e-7
1,1048576,3.053183564638573e-6,3.053549487042062e-6,3.0533729243609198e-6
2,1048576,3.017617688172436e-6,3.0179834671351102e-6,3.017859476261986e-6
4,1048576,3.0195207014749315e-6,3.020046302371071e-6,3.019883401761403e-6
8,1048576,1.0051171594582797e-5,1.0053830102219052e-5,1.0052993884679395e-5
16,1048576,1.0011728203807024e-5,1.0016143915381193e-5,1.0015327750023673e-5
32,1048576,1.0052199942434115e-5,1.0056860617613239e-5,1.005582287855189e-5
64,1048576,1.0079699679144127e-5,1.0083566094554186e-5,1.0082191248428352e-5
128,1048576,1.0179394712928058e-5,1.0185524288219838e-5,1.0183980608730048e-5
256,1048576,1.1623606665622788e-5,1.1627445726691832e-5,1.1626267359066134e-5
512,1048576,1.1863897957820058e-5,1.1871968602639171e-5,1.1869691176585873e-5
1024,1048576,1.3228301649181873e-5,1.3237662788601057e-5,1.3234776982090635e-5
2048,524288,1.4819136008092926e-5,1.4829334769039804e-5,1.4825387956163283e-5
4096,262144,1.5505770836199417e-5,1.5516156266492942e-5,1.551206846817088e-5
8192,131072,1.80891864793864e-5,1.809948387432314e-5,1.8094612716179626e-5
16384,65536,2.2703467131179877e-5,2.271331982939273e-5,2.2708423475403805e-5
32768,32768,2.89423669386224e-5,2.8952177004271107e-5,2.894798254882147e-5
65536,16384,4.174256565647738e-5,4.174693090419623e-5,4.174481691343601e-5
131072,8192,0.0001023942789117882,0.00010240656763471634,0.00010240196804645052
262144,4096,0.000141621699526695,0.00014163191917759832,0.0001416280941910486
524288,2048,0.00022193583106400183,0.00022194567191036185,0.0002219411992427922
1048576,1024,0.0003900110373251664,0.0003900233270996978,0.00039001851837383583
2097152,512,0.0007218834971354227,0.0007219278313641553,0.0007219073560236211
