size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.233689646580217e-7,2.300772845575949e-7,2.2535674290558028e-7
1,1048576,5.860033857274516e-6,5.860591189232878e-6,5.860402745111459e-6
2,1048576,5.848275018038862e-6,5.848850337164535e-6,5.8486026924264856e-6
4,1048576,5.8603803623213935e-6,5.860816524316803e-6,5.860573952826131e-6
8,1048576,5.888528957775918e-6,5.888872750325902e-6,5.888686232774498e-6
16,1048576,5.9499806570606495e-6,5.950293913148386e-6,5.950138949828432e-6
32,1048576,6.672011510833187e-6,6.67488448802267e-6,6.674392062727685e-6
64,1048576,6.892471574371228e-6,6.8954837364465504e-6,6.894985411454169e-6
128,1048576,7.908268023992804e-6,7.979157322424157e-6,7.949135412493868e-6
256,1048576,8.943842699782323e-6,9.009558615158397e-6,8.982964966430806e-6
512,1048576,8.751368354209532e-6,8.754228257412677e-6,8.752685500434954e-6
1024,1048576,9.573910332738578e-6,9.580551268761894e-6,9.577539984123584e-6
2048,524288,1.379355788255765e-5,1.3803463771111524e-5,1.3800066573810277e-5
4096,262144,1.756003622865876e-5,1.7570418169299273e-5,1.7567185560896093e-5
8192,131072,2.19323087389256e-5,2.194083296913618e-5,2.1938443097280214e-5
16384,65536,2.9142701912121538e-5,2.9149654835691763e-5,2.914822075839041e-5
32768,32768,4.238131477762863e-5,4.239017671636702e-5,4.2385074872974826e-5
65536,16384,6.983729133480665e-5,6.984580303992516e-5,6.984193773007519e-5
131072,8192,0.0001152320064079504,0.00011523964363391315,0.00011523753834552508
262144,4096,0.0003720617387443781,0.0003720693209743331,0.00037206587037275085
524288,2048,0.0005024895926908357,0.0005025076800393435,0.0005024964704460899
1048576,1024,0.000835315409631221,0.0008354576684723725,0.0008353869735344688
2097152,512,0.0014302688000498165,0.001430453237844631,0.0014303690762176302
