size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.2212454142689353e-7,2.3875515875459996e-7,2.262920727469364e-7
1,1048576,3.885158429639546e-6,3.886442390133027e-6,3.885986018636878e-6
2,1048576,3.878266027435018e-6,3.879380924054487e-6,3.878819347130635e-6
4,1048576,3.284773899325799e-6,3.285730629354333e-6,3.2854273586679916e-6
8,1048576,3.3519980287000095e-6,3.3534561674208874e-6,3.353075876233458e-6
16,1048576,3.2464676522625524e-6,3.248468336547461e-6,3.247854330173938e-6
32,1048576,3.4204075745059015e-6,3.4208130386126356e-6,3.4206458264518513e-6
64,1048576,3.792273310487815e-6,3.7941002324348716e-6,3.7934881767509587e-6
128,1048576,4.052664273057616e-6,4.155604137245916e-6,4.131512836541562e-6
256,1048576,4.2860770270714e-6,4.373899769927192e-6,4.357555971057359e-6
512,1048576,4.49633238841507e-6,4.49721548312354e-6,4.4970047181069894e-6
1024,1048576,5.146305842140819e-6,5.151649352885812e-6,5.1505905052928735e-6
2048,524288,7.392017851604038e-6,7.394120844050889e-6,7.393496875895966e-6
4096,262144,8.727079155335105e-6,8.733810293648503e-6,8.732881901063472e-6
8192,131072,1.2726160255382979e-5,1.2735406638597624e-5,1.2732226414735592e-5
16384,65536,2.7345677114709588e-5,2.7357318991505508e-5,2.7353354046688594e-5
32768,32768,4.5042061017852575e-5,4.504981897923699e-5,4.5046843091256505e-5
65536,16384,9.172717309979816e-5,9.173724762945312e-5,9.17346191773305e-5
131072,8192,0.000146001279176744,0.00014601315689333205,0.0001460085385183163
262144,4096,0.0002452640334240641,0.0002452718091490169,0.0002452688962648608
524288,2048,0.00041404440480619087,0.00041405525212212524,0.0004140503861265188
1048576,1024,0.0008066976424743189,0.0008067200833465904,0.0008067085829850384
2097152,512,0.001477424601034727,0.0014774767414564849,0.0014774557966461543
