size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.2403372312851388e-7,2.3634424306528956e-7,2.2618860573420108e-7
1,1048576,2.6503174048730926e-6,2.651943399545331e-6,2.6513336238154217e-6
2,1048576,2.6288122807471836e-6,2.630892548260988e-6,2.630273030740371e-6
4,1048576,2.633147132335978e-6,2.6365462870714396e-6,2.6357180521741075e-6
8,1048576,2.734054884490078e-6,2.734720534469659e-6,2.7343589974193616e-6
16,1048576,2.592441857629524e-6,2.59318641671058e-6,2.5927343482445853e-6
32,1048576,2.6821012406585965e-6,2.682824582933563e-6,2.682446998553134e-6
64,1048576,3.403932522516584e-6,3.404460230838069e-6,3.4042951027046797e-6
128,1048576,3.539972192712071e-6,3.54028427240749e-6,3.5401409558544206e-6
256,1048576,3.7676471764669373e-6,3.7708824840443356e-6,3.7703973401748136e-6
512,1048576,4.147539083509955e-6,4.151540981212065e-6,4.150855304696499e-6
1024,1048576,4.9433285951305805e-6,4.945467249939384e-6,4.944970509290769e-6
2048,524288,6.516140602652598e-6,6.520587531255728e-6,6.519816400929468e-6
4096,262144,8.383205193140952e-6,8.392582840244245e-6,8.390475668029751e-6
8192,131072,1.2180389944660419e-5,1.219283790376835e-5,1.2187746137870548e-5
16384,65536,2.2561533704390513e-5,2.2572404603238283e-5,2.2566067881424345e-5
32768,32768,4.412657031593881e-5,4.413396412417114e-5,4.4130717115287155e-5
65536,16384,7.336217247200238e-5,7.336892566911501e-5,7.336598058671484e-5
131072,8192,0.00013091937057652103,0.00013093339498482237,0.00013092585417595615
262144,4096,0.0002547011728211146,0.00025472613447163894,0.0002547131905075162
524288,2048,0.0004912541110115853,0.0004913213315376197,0.0004912899849074392
1048576,1024,0.0009269197462344891,0.0009270364068925119,0.0009270032384733895
2097152,512,0.001826737873670936,0.0018273468585903174,0.0018271898568400502
