size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.2717664172056118e-7,2.3419868888652218e-7,2.2976854827105875e-7
1,1048576,5.00157850558125e-6,5.0030563127911876e-6,5.002615892951701e-6
2,1048576,4.993500623218239e-6,4.99485977778491e-6,4.994428141030793e-6
4,1048576,5.002068408144211e-6,5.003523069868621e-6,5.00307352419016e-6
8,1048576,5.00457342300642e-6,5.005995866280699e-6,5.005525855111825e-6
16,1048576,5.025257167279307e-6,5.026907625493848e-6,5.026390903994926e-6
32,1048576,5.6557527985390266e-6,5.657117005952728e-6,5.656557653249683e-6
64,1048576,5.886084488704313e-6,5.887509193724938e-6,5.88694395334266e-6
128,1048576,6.841402238944028e-6,6.844670506822581e-6,6.843357472779976e-6
256,1048576,7.899484903539644e-6,7.903097674066828e-6,7.901405367799486e-6
512,1048576,7.175356385946685e-6,7.184069429788664e-6,7.181128323846542e-6
1024,1048576,7.885525088902057e-6,7.890464080784199e-6,7.888782096843183e-6
2048,524288,1.04814678305587e-5,1.0491893050801337e-5,1.0489095083221489e-5
4096,262144,1.3491679572652515e-5,1.350287282164686e-5,1.3499543129347202e-5
8192,131072,1.8323502169792505e-5,1.8335309245998133e-5,1.8329412342144025e-5
16384,65536,3.72495400675632e-5,3.725944100452239e-5,3.725557605616103e-5
32768,32768,5.503184296173913e-5,5.5040454114418935e-5,5.503775367454722e-5
65536,16384,8.84479704268415e-5,8.845712820004792e-5,8.845369606902409e-5
131072,8192,0.00015186093833108316,0.00015187268712679725,0.00015186990550120072
262144,4096,0.00027937995969296026,0.000279386230658929,0.00027938315896847143
524288,2048,0.0005148526659013442,0.000514864738192955,0.0005148581260101537
1048576,1024,0.0009651775499150972,0.0009652062096847658,0.0009651897564424416
2097152,512,0.0019147467855873401,0.0019148319761370658,0.001914789991701582
