size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.251226010052676e-7,2.3332192244929217e-7,2.28067111779362e-7
1,1048576,2.9484000672042043e-6,2.9511588193198435e-6,2.9506687450608915e-6
2,1048576,2.9444239690867846e-6,2.94553569268885e-6,2.9451772362576456e-6
4,1048576,2.9409089337129046e-6,2.9420820677472648e-6,2.9417685833421636e-6
8,1048576,2.9615726078180415e-6,2.9621251038669527e-6,2.9618846553447487e-6
16,1048576,2.9597138344605867e-6,2.960218920211588e-6,2.9600503706761483e-6
32,1048576,3.243260527252545e-6,3.243645062545042e-6,3.243520938084332e-6
64,1048576,3.303887411210127e-6,3.3054872894400233e-6,3.3050342811424827e-6
128,1048576,4.1548075782049665e-6,4.1601618163689125e-6,4.158702458872954e-6
256,1048576,4.512028877190488e-6,4.5190459911914616e-6,4.516919120234331e-6
512,1048576,4.587707715941747e-6,4.596747958718339e-6,4.59445148473514e-6
1024,1048576,4.985475551055885e-6,4.99453420976792e-6,4.991540035192976e-6
2048,524288,6.761490241924406e-6,6.772389291143099e-6,6.768439403226356e-6
4096,262144,8.91420130244569e-6,8.924769608675831e-6,8.920599356199155e-6
8192,131072,1.2859895733186022e-5,1.2869938164072892e-5,1.2863078286962093e-5
16384,65536,2.9632644370281014e-5,2.9641356860565793e-5,2.9634676474543653e-5
32768,32768,4.509738835167809e-5,4.51086922197419e-5,4.510124086998246e-5
65536,16384,7.383372943081667e-5,7.384455113879085e-5,7.383833409235763e-5
131072,8192,0.00013341445327341717,0.00013342649387482197,0.00013341997932059257
262144,4096,0.00025342069454836746,0.0002534463387746655,0.0002534325651453173
524288,2048,0.0004866986985234689,0.00048671170748093573,0.00048670624369151483
1048576,1024,0.0009503056021458178,0.000950324440282202,0.0009503158154018365
2097152,512,0.00177353708386363,0.0017736757440616202,0.0017736352733663807
