size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.242487298076412e-7,2.3709170693386739e-7,2.2879598968184034e-7
1,1048576,2.9896893722902718e-6,2.9900286737660764e-6,2.9898426046059967e-6
2,1048576,2.9649454749147708e-6,2.965224665141264e-6,2.965030332841012e-6
4,1048576,2.9777293815147488e-6,2.978052236590756e-6,2.977873806653264e-6
8,1048576,5.150638140882791e-6,5.1591345053836335e-6,5.157625806051502e-6
16,1048576,5.169733179322122e-6,5.179233466101607e-6,5.177650851867499e-6
32,1048576,5.18088257472904e-6,5.189518054171671e-6,5.1880804191606344e-6
64,1048576,5.2815697466623845e-6,5.29023236439663e-6,5.2886544731900464e-6
128,1048576,5.383967547345492e-6,5.393313663670796e-6,5.3917838035988375e-6
256,1048576,6.193025113621076e-6,6.201711197695303e-6,6.200103799064438e-6
512,1048576,7.290936243853352e-6,7.30043756558274e-6,7.2978924385291855e-6
1024,1048576,7.4058184662550985e-6,7.414845207609488e-6,7.41077975333071e-6
2048,524288,8.379920095613613e-6,8.388818375948404e-6,8.384276911688193e-6
4096,262144,9.703781919334631e-6,9.71316793130228e-6,9.708825636445262e-6
8192,131072,1.1634903049895229e-5,1.1645531072801418e-5,1.1639705792543253e-5
16384,65536,1.554891083799248e-5,1.5559323401248548e-5,1.555349012027918e-5
32768,32768,2.7731193881663785e-5,2.7739402042925576e-5,2.773439652514753e-5
65536,16384,4.737305093271971e-5,4.738306995477615e-5,4.737680116662091e-5
131072,8192,6.90974750341411e-5,6.91080720116588e-5,6.91031726809399e-5
262144,4096,0.0001110103319206246,0.00011102031163545689,0.00011101553334214032
524288,2048,0.0001947133707744797,0.0001947268510775757,0.0001947191555302652
1048576,1024,0.0003631924878391146,0.0003632044249570754,0.00036319843695764575
2097152,512,0.000666601652483223,0.000666647638354334,0.0006666241591233302
