size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.2591897330670463e-7,2.558709584210561e-7,2.3262878404151088e-7
1,1048576,2.6386168610059713e-6,2.63941896516684e-6,2.638919269604134e-6
2,1048576,2.618488491368254e-6,2.6193281397191015e-6,2.6189406875654075e-6
4,1048576,2.6264011456778036e-6,2.6274751940835728e-6,2.6270202831413236e-6
8,1048576,2.677442304310773e-6,2.679719713682971e-6,2.6791153880378893e-6
16,1048576,2.580500413351672e-6,2.5819187736697558e-6,2.5814185080907937e-6
32,1048576,2.6702720699045557e-6,2.6718906471767667e-6,2.6712396640760083e-6
64,1048576,3.3840077138247437e-6,3.388946013149763e-6,3.3881557819082087e-6
128,1048576,3.5024578226572345e-6,3.507429360283254e-6,3.50666516582554e-6
256,1048576,3.753355720448326e-6,3.759058296193274e-6,3.75825419526854e-6
512,1048576,4.085452247171162e-6,4.092234984431897e-6,4.091182513321634e-6
1024,1048576,4.891448046828728e-6,4.897688801630551e-6,4.896609927695916e-6
2048,524288,6.471803315921676e-6,6.4832321999830356e-6,6.48105047251768e-6
4096,262144,8.389179099843602e-6,8.400561174681798e-6,8.39802489327468e-6
8192,131072,1.2296621473950609e-5,1.230832348753097e-5,1.2304343375291182e-5
16384,65536,2.2199499639441456e-5,2.2211053035903205e-5,2.220622893167601e-5
32768,32768,4.4497462312165226e-5,4.450310362358323e-5,4.44999306248306e-5
65536,16384,7.335023138921315e-5,7.336324730999877e-5,7.335695939225673e-5
131072,8192,0.0001308785085711861,0.00013089163266499781,0.00013088548694639712
262144,4096,0.000253660312523607,0.000253672216558698,0.00025366694763562236
524288,2048,0.0004735514444291766,0.0004735693667043961,0.0004735616433180212
1048576,1024,0.000924303074953059,0.0009243646236427594,0.0009243407490089339
2097152,512,0.0017914856971401605,0.0017916430178956944,0.00179157215751502
