size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.268705387997727e-7,2.336949105341546e-7,2.2922001807756942e-7
1,1048576,2.6533557595520563e-6,2.654031306503768e-6,2.653720703821305e-6
2,1048576,2.6336422751516153e-6,2.6343074388535115e-6,2.6339685231246968e-6
4,1048576,2.6403541371067263e-6,2.6408907016772787e-6,2.6405628578141105e-6
8,1048576,2.6969803106347e-6,2.6977820102302985e-6,2.6974399250090375e-6
16,1048576,2.5846208129287618e-6,2.585973155833088e-6,2.5851906368667965e-6
32,1048576,2.6838865383460586e-6,2.6849153715868823e-6,2.6845462462454783e-6
64,1048576,3.390813761328104e-6,3.391355801518614e-6,3.3911601414193804e-6
128,1048576,3.525181724306492e-6,3.528609289649154e-6,3.5279680309641126e-6
256,1048576,3.77300533660474e-6,3.7780334625203693e-6,3.7770189249275443e-6
512,1048576,4.08902536941369e-6,4.0957351528092545e-6,4.0945501095235315e-6
1024,1048576,4.8974862001394115e-6,4.905860097714765e-6,4.903723445887076e-6
2048,524288,6.451990214095815e-6,6.462595373513125e-6,6.459889924370632e-6
4096,262144,8.298815438401164e-6,8.307589563827378e-6,8.305386109186408e-6
8192,131072,1.2316150270308412e-5,1.2325994536155349e-5,1.2322676016029988e-5
16384,65536,2.2647818155974164e-5,2.2659638624134004e-5,2.2654108739583734e-5
32768,32768,4.491900138248184e-5,4.49316485315876e-5,4.492515932952301e-5
65536,16384,7.328770217895908e-5,7.329791540655606e-5,7.329300216873946e-5
131072,8192,0.00013062983839517983,0.00013063955728398469,0.00013063527665124752
262144,4096,0.00025359626647514233,0.00025360528491091827,0.00025360009631469893
524288,2048,0.00047620990062569035,0.0004762283032277992,0.00047622171568662
1048576,1024,0.0009256751275188435,0.0009256930927676876,0.0009256831220909589
2097152,512,0.0018185693943451042,0.001818712500607944,0.001818654364114991
