size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,2.2709899383244192e-7,2.3668052806513629e-7,2.298075248430287e-7
1,1048576,5.107021842309933e-6,5.116559601781034e-6,5.113999480638176e-6
2,1048576,5.0937982560839146e-6,5.103651999238679e-6,5.101589770656334e-6
4,1048576,5.1053125216249384e-6,5.1152502131834865e-6,5.113160221781321e-6
8,1048576,5.11138615966189e-6,5.1214584335657065e-6,5.119304971573646e-6
16,1048576,5.135275848111576e-6,5.1452616429692455e-6,5.143090539450057e-6
32,1048576,5.752907045408762e-6,5.761865325082383e-6,5.760180795899572e-6
64,1048576,6.010365247277605e-6,6.02083005318832e-6,6.0189179708347584e-6
128,1048576,7.0093533692805465e-6,7.017153545341159e-6,7.014008134076377e-6
256,1048576,7.725946736147904e-6,7.734055170072196e-6,7.730604568323418e-6
512,1048576,7.257533947591099e-6,7.268118377368182e-6,7.263375412513984e-6
1024,1048576,7.912099784679327e-6,7.922869332599447e-6,7.917239822602395e-6
2048,524288,1.0737460438114965e-5,1.0748469370991387e-5,1.0741482013465475e-5
4096,262144,1.3647791747395388e-5,1.3655990246164151e-5,1.365001273601063e-5
8192,131072,1.8691391943548297e-5,1.8701455640979248e-5,1.8694450448109023e-5
16384,65536,3.7019892516809705e-5,3.702977359765214e-5,3.702465546906453e-5
32768,32768,5.454986106911974e-5,5.45632950519348e-5,5.455582564728445e-5
65536,16384,8.544481337935395e-5,8.545713447460912e-5,8.545124061321019e-5
131072,8192,0.0001475177565453123,0.0001475295331374582,0.00014752385446570315
262144,4096,0.00027309044884304967,0.00027309870404224057,0.0002730949478433331
524288,2048,0.0005329273853931227,0.0005329452774276433,0.0005329372935847232
1048576,1024,0.0010373348923167214,0.001037370341919086,0.0010373508358156869
2097152,512,0.002001982520596357,0.002002054535296338,0.0020020235421611687
