size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.7274169921863806e-8,4.0519715309116965e-8,3.909742093086035e-8
1,1048576,9.373262681962297e-7,9.406185855865469e-7,9.388319677710739e-7
2,1048576,9.854280052185512e-7,9.884335451128641e-7,9.867759781480534e-7
4,1048576,9.82305152893289e-7,9.855551519393303e-7,9.837937305569895e-7
8,1048576,1.0055288066868785e-6,1.0086214809418252e-6,1.006978914141694e-6
16,1048576,1.0169104890829438e-6,1.020127807616742e-6,1.0184027796387635e-6
32,1048576,1.1298777275086892e-6,1.1332206106187292e-6,1.1314976963997333e-6
64,1048576,1.0438573093413715e-6,1.0468360385902002e-6,1.0452258820534537e-6
128,1048576,1.922698666573446e-6,1.9258570661540003e-6,1.924191155552517e-6
256,1048576,2.159339229584162e-6,2.1624506978984074e-6,2.160745219111662e-6
512,1048576,2.2101372528058996e-6,2.2133241434100542e-6,2.211604887127733e-6
1024,1048576,3.4604350423836e-6,3.4636936655022327e-6,3.4619784547092622e-6
2048,524288,6.360205722810105e-6,6.363569309232088e-6,6.361768291592523e-6
4096,262144,8.896834766386499e-6,8.900124851228761e-6,8.898363022566323e-6
8192,131072,1.5643699836728146e-5,1.5647175682060704e-5,1.564522800063922e-5
16384,65536,1.062479946899636e-5,1.0635490005493967e-5,1.0631274145127908e-5
32768,32768,2.1298382354739665e-5,2.1319126800536654e-5,2.1309424228667205e-5
65536,16384,4.2636198059081915e-5,4.269197827148495e-5,4.2669419509885564e-5
131072,8192,8.53282956542827e-5,8.543917932128317e-5,8.538766928863073e-5
262144,4096,0.00017068909790037435,0.0001709306704101906,0.00017082544515990687
524288,2048,0.00034105553466795904,0.0003417108247070703,0.0003414702934875539
1048576,1024,0.0006911766611328307,0.0006917099599609219,0.0006914785501098734
2097152,512,0.0013590146835935554,0.0013612073925781676,0.0013604313272704816
