size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.719574069976679e-8,4.049885845185911e-8,3.907227396964999e-8
1,1048576,1.1386322603226532e-6,1.14243197250344e-6,1.1404476009011408e-6
2,1048576,1.1427992439265683e-6,1.1460165834426554e-6,1.144229164242739e-6
4,1048576,1.1614523220066143e-6,1.1644780340191524e-6,1.1627458142043374e-6
8,1048576,1.1477710371018118e-6,1.1512571983338956e-6,1.1492828487157756e-6
16,1048576,1.1577629699712071e-6,1.1611559028627068e-6,1.1592544292210706e-6
32,1048576,1.1895961008073582e-6,1.192876853941919e-6,1.1910233128666218e-6
64,1048576,1.1626612043377588e-6,1.166084754943229e-6,1.1641337811349938e-6
128,1048576,1.6617506074907624e-6,1.6647497739794864e-6,1.6631058103442282e-6
256,1048576,2.59561277198819e-6,2.5989521074293416e-6,2.597075141072353e-6
512,1048576,2.3851067113869193e-6,2.3880805702211862e-6,2.386430637121148e-6
1024,1048576,1.7452924375554144e-6,1.7487990159980026e-6,1.7466910346744017e-6
2048,524288,2.7274396190612974e-6,2.7314408645605747e-6,2.7295299649235684e-6
4096,262144,3.6727397270175838e-6,3.6763668174714546e-6,3.6744486758703293e-6
8192,131072,6.316224037174092e-6,6.319730659482968e-6,6.317861685275049e-6
16384,65536,6.2449342651363675e-6,1.1446055435182945e-5,7.547597811699012e-6
32768,32768,9.54400186157665e-6,1.7766275695795084e-5,1.182583577537619e-5
65536,16384,1.6338802673343013e-5,3.183524108886352e-5,2.046859857940686e-5
131072,8192,3.210712194824791e-5,6.000766015626033e-5,3.911117915344486e-5
262144,4096,6.440102514645822e-5,0.00011795084106447102,7.78321731109634e-5
524288,2048,0.00021097041845702554,0.00021117452001951677,0.00021104040093993307
1048576,1024,0.00040434567871089344,0.0004052487285156024,0.00040463936108398914
2097152,512,0.000798144632812553,0.0008016252753906966,0.0007992647265625194
