size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.7273190498368345e-8,4.0667724609379016e-8,3.9124127328397166e-8
1,1048576,1.8521014499663726e-6,1.8549624328615995e-6,1.8533954052328484e-6
2,1048576,1.9006153383254983e-6,1.903613822937204e-6,1.901997013986028e-6
4,1048576,1.9753980541226136e-6,1.978536851882881e-6,1.9768266744614007e-6
8,1048576,1.9676102123249335e-6,1.970666730880344e-6,1.9689929093719276e-6
16,1048576,1.8998586397171784e-6,1.9028080167763261e-6,1.9012049908040983e-6
32,1048576,2.0456108922945647e-6,2.0488479547493225e-6,2.0471253781316385e-6
64,1048576,1.966439757347222e-6,1.9697129459379744e-6,1.967964258134649e-6
128,1048576,3.217303276062878e-6,3.220545132636939e-6,3.2187974115616142e-6
256,1048576,4.745755347252153e-6,4.7490052804945184e-6,4.747298448741451e-6
512,1048576,5.297610932350845e-6,5.3009607849114386e-6,5.299231064617884e-6
1024,1048576,6.678648757930731e-6,6.682304289821596e-6,6.6805917297003675e-6
2048,524288,1.0225768016819905e-5,1.0229686203001227e-5,1.0227916607617663e-5
4096,262144,1.469561946867298e-5,1.4700261497499657e-5,1.469834230804263e-5
8192,131072,2.5134359687822014e-5,2.513974240874958e-5,2.5137904172424117e-5
16384,65536,9.188093200680715e-6,1.3916333404558078e-5,1.0380996230125642e-5
32768,32768,1.227763342284173e-5,2.2674557067880194e-5,1.5771160915376857e-5
65536,16384,1.954609637449308e-5,4.186135443113312e-5,2.7479443584439917e-5
131072,8192,3.396696618646316e-5,7.559650817868906e-5,4.968211578369817e-5
262144,4096,6.977262890630644e-5,0.00015928360131845128,0.00010024571678161963
524288,2048,0.0002591791938477174,0.0002593885473632894,0.00025925761148073425
1048576,1024,0.0004121776601561794,0.0004126406757811729,0.0004123513913574122
2097152,512,0.0007050456132814825,0.0007068139921875688,0.000705797940063496
